nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
"Krim Sup Ayam (Kalengan, Terkondensasi)",1 mangkok,223,"14,48g","17,97g","5,97g","1,36g","5,133g"
Belalang Goreng,100 gram (g),151,"6,45g","8,34g","14,3g","0,94g","3,536g"
Getuk Goreng,100 gram (g),359,"6,68g","74,06g","1,31g","34,96g","3,846g"
Bakso Goreng,1 buah,57,"3,77g","2,39g","3,22g","0,24g","1,663g"
Paha Ayam Panggang (Kulit Dimakan),"1 kecil (hasil setelah masak, tulang dihilangkan)",135,"8,45g",0g,"13,67g",0g,"3,354g"
Kuah/Kaldu Ayam (Kalengan),1 gelas,188,"13,59g","12,9g","4,59g","1,86g","6,069g"
Polenta Goreng,1 untai atau iris,77,"0,35g","16,24g","1,77g","0,13g","0,086g"
Pastry Diisi dengan Kentang dan Kacang (Goreng),1 samosa reguler,308,"17,86g","32,21g","4,67g","1,26g","5,836g"
"Daging Ayam (Panggang, Bakar, Dimasak)",100 gram (g),167,"6,63g",0g,"25,01g",75mg,"2,5g"
Daging dan Kulit Ayam (Panggang),100 gram (g),216,"15,85g",0g,"17,14g",0g,"6,64g"
Pepes Ayam,1 potong,103,"6,13g","0,66g","10,96g","0,03g","3,33g"
Opor Ayam,1 porsi (240 g),392,"20,81g","13,43g","39,67g","3,5g","1,56g"
Ayam Woku,100 gram (g),117,"5,14g","0,68g","16,11g","0,1g","1,46g"
Bakpao Ayam,100 gram (g),239,"2,61g","41,9g","12,46g","3,4g","0,417g"
Ayam Cincang Buncis,1 mangkok,360,"9,21g","48,08g","23,08g","11,7g","3,852g"
Paru Sapi Goreng,100 gram (g),484,"36,5g","0,62g","39,61g","0,32g","21,271g"
Sambal Goreng Kentang,100 gram (g),102,"3,02g","10,15g","8,72g","1,1g","0,251g"
Sosis Ayam,1 ikatan (panjang 2 cm x 10 cm),49,"2,83g","0,43g","5,05g",0g,"0,755g"
Sup Mie Ayam,1 mangkok,65,"2,39g","7,4g","3,18g","1,06g","1,048g"
Flauta dengan Ayam,100 gram (g),282,"19,92g","15,76g","10,9g","0,95g","7,777g"
Burrito dengan Ayam,1 kecil,271,"8,31g","24,34g","23,49g","1,83g","3,46g"
Sup Ayam Kental (Kalengan),1 mangkok,170,"6,34g","16,51g","12,14g","2,09g","2,832g"
Nasi Goreng Cina,1 mangkok,299,"11,11g","37,52g","11,23g","1,2g","4,809g"
Daging Kambing Goreng,100 gram (g),153,"4,52g",0g,"26,46g",0g,"1,692g"
Potongan Daging Babi Goreng,100 gram (g),279,"18,5g",0g,"26,41g",0g,"8,003g"
Ikan Bandeng Goreng,100 gram (g),233,"16,4g","2,38g","18,08g","0,2g","8,401g"
Ikan Tongkol Goreng,100 gram (g),200,"11,41g","2,38g","20,95g","0,2g","6,318g"
Nasi Goreng Oatmeal,1 porsi (300 g),321,"12,89g","45,09g","9,53g","8,3g","4,224g"
Dada Ayam Masak,100 gram (g),110,"1,24g",0g,"23,09g",0g,"0,28g"
Salad Ayam atau Kalkun,1 mangkok,417,"31,5g","2,55g","29,48g","0,98g","8,638g"
Daging dan Kulit Sayap Ayam (Ayam Pedaging),"1 sayap, tulang dihilangkan (hasil dari 450 g - ayam siap dimasak)",64,"4,63g",0g,"5,32g",0g,"0,983g"
Daging Paha dan Kulit Ayam (Ayam Pedaging),"1 paha, tulang dihilangkan",118,"6,34g",0g,"14,07g",0g,"2,46g"
Daging Ayam (Panggang),100 gram (g),111,"2,7g",0g,"20,33g",0g,"0,83g"
Ayam,"1 irisan tipis (sekitar 5 cm x 4 cm x 0,3 cm)",17,"0,94g",0g,"1,89g",0g,"0,371g"
Ayam Penyet,100 gram (g),199,"8,53g","5,29g","25,05g","0,29g","3,945g"
Lumpia Ayam,1 lumpia,65,"2,61g","7,12g","3,03g","0,37g","1,091g"
Sayap Ayam,"1 kecil (hasil setelah masak, tulang dihilangkan)",81,"5,4g",0g,"7,46g",0g,"2,121g"
Paha Ayam,"1 kecil (hasil setelah masak, tulang dihilangkan)",135,"8,45g",0g,"13,67g",0g,"3,354g"
Kaki Ayam,"1 kecil (hasil setelah masak, tulang dihilangkan)",212,"12,28g",0g,"23,68g",0g,"4,781g"
Dada Ayam,100 gram (g),195,"7,72g",0g,"29,55g",0g,"3,005g"
Oncom Goreng,1 potong,109,"5,84g","12,1g","2,39g","1,24g","2,945g"
Bebek Goreng,1 potong,337,"28,44g","4,32g","15,39g","1,34g","13,721g"
Ubi Goreng,1 potong,74,"0,4g","16,18g","1,41g","5,1g","0,177g"
Roti Goreng,100 gram (g),320,"11,36g","47,69g","7,18g","0,2g","1,963g"
Bihun Goreng,1 porsi (300 g),455,"17,04g","54,79g","17,73g","3,91g","9,358g"
Udang Goreng,100 gram (g),287,"14,64g","27,57g","10,58g","0,91g","7,817g"
Daging Paha Ayam (Ayam Pedaging),"1 paha, tulang dan kulit dihilangkan (hasil dari 450 g-siap untuk dimasak ayam)",49,"1,6g",0g,"8,06g",0g,"0,398g"
Daging Dada Ayam (Ayam Pedaging),100 gram (g),110,"1,24g",0g,"23,09g",0g,"0,28g"
Usus Ayam,100 gram (g),94,"2,06g",0g,"17,66g",0g,"0,357g"
