nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Asam Jawa,100 gram (g),239,"0,6g","62,5g","2,8g",28mg,0mg
Blackberry,1 mangkok,62,"0,71g","13,84g",2g,1mg,0mg
"Anggur (Merah atau Hijau, Jenis Varietas Eropa Seperti Thompson tanpa Biji)","1 gelas, tanpa biji",110,"0,26g","28,96g","1,15g",3mg,0mg
Timun Suri,100 gram (g),16,"0,12g","3,65g","0,65g",7mg,0mg
Pisang Kepok Rebus,100 gram (g),115,"0,35g","30,08g","1,23g",4mg,0mg
"Blueberry (tanpa Pemanis, Beku)",100 gram (g),51,"0,64g","12,17g","0,42g",1mg,0mg
Blueberry Tawar dalam Kemasan Air (Dimasak atau Kalengan),1 mangkok,93,"0,54g","23,69g","1,22g",2mg,0mg
Low Fat Banana,1 botol (250 ml),200,2g,38g,7g,360mg,"7,00g"
Jambu Kristal,100 g,49,"0,3g","12,2g","0,9g",,
Kismis Emas (tanpa Biji),"1 mangkok, dikemas",498,"0,76g","131,21g","5,59g",20mg,0mg
Pisang Apel,1 buah,65,"0,24g","16,67g","0,8g",1mg,0mg
Jeruk Keprok,"1 kecil (diameter 5,5 cm)",37,"0,22g","9,34g","0,57g",1mg,0mg
Rasberi,1 mangkok,64,"0,8g","14,69g","1,48g",1mg,0mg
Anggur Jenis Eropa,1 tanpa biji,3,"0,01g","0,9g","0,04g",0mg,0mg
"Nanas (Padat dan Cair, Jus Kemasan, Kalengan)","1 mangkok, lumatan, irisan, atau potongan",149,"0,2g","39,09g","1,05g",2mg,0mg
Anggur Jenis Amerika (Kulit Licin),1 anggur,2,"0,01g","0,41g","0,02g",0mg,0mg
Kesemek,100 gram (g),70,"0,19g","18,59g","0,58g",1mg,0mg
Kurma,1 kurma,23,"0,03g","6,23g","0,2g",0mg,0mg
Pir Asia,"1 buah dengan tinggi 5,5 cm x diameter 6,5 cm",51,"0,28g","12,99g","0,61g",0mg,0mg
Markisa,1 buah,17,"0,13g","4,21g","0,4g",5mg,0mg
Kismis (tanpa Biji),1 kotak kecil (14 g),42,"0,06g","11,09g","0,43g",2mg,0mg
"Blackberry (tanpa Pemanis, Beku)",100 gram (g),64,"0,43g","15,67g","1,18g",1mg,0mg
Jeruk Keprok (Jeruk Mandarin),"1 kecil (diameter 5,5 cm)",37,"0,22g","9,34g","0,57g",1mg,0mg
Sukun,100 gram (g),103,"0,23g","27,12g","1,07g",2mg,0mg
Beri,1 mangkok,48,"0,43g","11,49g","0,98g",1mg,0mg
Aprikot Kering,1 setengah,8,"0,02g","2,19g","0,12g",0mg,0mg
Kolang Kaling,100 gram (g),33,"0,21g","8,31g","0,39g",1mg,0mg
Ceri Manis,"1 mangkok, dengan lubang, hasil",74,"0,23g","18,73g","1,24g",0mg,0mg
Jeruk Bali (Merah dan Merah Muda),100 gram (g),42,"0,14g","10,66g","0,77g",0mg,0mg
Rasberi Beku,1 mangkok,258,"0,4g","65,4g","1,75g",2mg,0mg
Belimbing,1 buah,28,"0,3g","6,12g","0,95g",2mg,0mg
Pisang Single,100 g,90,0g,22g,1g,,"1,00g"
Kelengkeng,100 gram (g),60,"0,1g","15,14g","1,31g",,"1,1g"
Stroberi Beku dengan Gula,1 mangkok,222,"0,36g","59,82g","1,33g",5mg,0mg
Apel Merah Lezat,1 sedang (diameter 7 cm),72,"0,23g","19,06g","0,36g",1mg,0mg
Manggis,100 gram (g),73,"0,58g","17,91g","0,41g",,"1,8g"
Apel Pink Lady,1 sedang (diameter 7 cm) (kira-kira 3 per 450 g),72,"0,23g","19,06g","0,36g",1mg,0mg
Jambu Air,100 gram (g),46,"0,27g","11,66g","0,5g",0mg,0mg
Kelapa,100 gram (g),354,"33,49g","15,23g","3,33g",20mg,0mg
Fitbar Fruits Delight,1 porsi (22 g),90,4g,15g,2g,,"2,00g"
Stroberi Beku,1 mangkok,222,"0,36g","59,82g","1,33g",5mg,0mg
Durian,100 gram (g),147,"5,33g","27,09g","1,47g",,"3,8g"
Buah Kiwi,1 buah,46,"0,4g","11,14g","0,87g",2mg,0mg
Apel Granny Smith,1 sedang (diameter 7 cm),72,"0,23g","19,06g","0,36g",1mg,0mg
Mix Fruit,1 porsi (35 ml),35,0g,8g,0g,,"0,00g"
Nangka,100 gram (g),94,"0,3g","24,01g","1,47g",303mg,0mg
"Jeruk Keprok (Jeruk Mandarin, Jus Kemasan, Kalengan)",1 gelas,92,"0,07g","23,83g","1,54g",12mg,0mg
Buah Srikaya,100 gram (g),94,"0,29g","23,64g","2,06g",247mg,0mg
Jeruk Mandarin (Kaleng atau Beku),1 mangkok,154,"0,25g","40,8g","1,13g",15mg,0mg
Buah Naga,100 g,60,"0,38g","12,38g","0,78g",192mg,"0,78g"
Rasberi Merah,1 mangkok,64,"0,8g","14,69g","1,48g",1mg,0mg
Sirsak,100 gram (g),66,"0,3g","16,84g",1g,14mg,0mg
Cranberry Kering (Dimaniskan),1/3 mangkok,123,"0,55g","32,94g","0,03g",1mg,0mg
Apel Gala,1 sedang (diameter 7 cm),71,"0,24g","19,06g","0,36g",1mg,0mg
"Pir (Padat dan Cair, Kemasan Sirup Ringan, Kalengan)","1 mangkok, separuh",143,"0,08g","38,08g","0,48g",13mg,0mg
Ceri Merah Asam,"1 mangkok, dengan lubang, hasil",52,"0,31g","12,55g","1,03g",3mg,0mg
Kedondong,100 gram (g),41,"0,27g",10g,"0,88g",3mg,0mg
Cranberry,100 gram (g),46,"0,13g","12,2g","0,39g",2mg,0mg
"Persik (Padat dan Cair,Kemasan Sirup Ringan , Kalengan)","1 mangkok, separuh atau iris",136,"0,08g","36,52g","1,13g",13mg,0mg
"Labu Siam (Buah, dengan Garam, Dikeringkan, Direbus, Dimasak)",100 gram (g),24,"0,48g","5,09g","0,62g",,"5,09g"
Bing Ceri,"1 mangkok, dengan lubang, hasil",74,"0,23g","18,73g","1,24g",0mg,0mg
Pare,100 gram (g),29,"0,22g","6,82g","1,12g",10mg,0mg
"Salad Buah Persik, Aprikot, Nanas, Ceri (Padat dan Cair, Kemasan Air, Kaleng)",1 mangkok,74,"0,17g","19,28g","0,86g",191mg,0mg
Kurma Medjool,"1 kurma, berbintik-bintik",66,"0,04g","17,99g","0,43g",,"15,95g"
Apel Braeburn,1 sedang (diameter 7 cm),71,"0,24g","19,06g","0,36g",1mg,0mg
Apel Emas Lezat,1 sedang (diameter 7 cm),72,"0,23g","19,06g","0,36g",1mg,0mg
Labu Siam,100 gram (g),17,"0,13g","3,9g","0,82g",2mg,0mg
Buah Persik,"1 sedang (diameter 6,5 cm ) (kira-kira 4 per 450 g)",38,"0,24g","9,35g","0,89g",0mg,0mg
Buah Ara,"1 sedang (diameter 5,5 cm)",37,"0,15g","9,59g","0,38g",0mg,0mg
Rambutan,1 buah,7,"0,02g","1,79g","0,06g",1mg,0mg
Golden Pear,1 porsi (122 g),51,0g,13g,1g,,"9,00g"
Stroberi Beku tanpa Pemanis,100 gram (g),35,"0,11g","9,13g","0,43g",2mg,0mg
Jambu Biji,100 gram (g),68,"0,95g","14,32g","2,55g",2mg,0mg
Sawo,100 gram (g),83,"1,1g","19,96g","0,44g",193mg,0mg
Blueberi Beku,1 mangkok,79,"0,99g","18,86g","0,65g",2mg,0mg
Apel Fuji,1 iris,9,"0,03g","2,35g","0,04g",0mg,0mg
