nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Snickers,1 porsi (20 g),100,5g,12g,2g,,"9,00g"
Cokelat Compound Butir,1 porsi (15 g),70,"3,5g",11g,1g,,
Take It,1 porsi (35 ml),160,9g,18g,2g,,20mg
Choco Pie Dark,1 porsi (30 g),140,6g,19g,2g,,75mg
Dark Chocolate,1 takaran saji (30 g),170,11g,15g,3g,,20mg
Frost Bite Choco Lava Mochi,1 bungkus (46 ml),120,1g,27g,1g,,25mg
Hershey’s Cocoa Special Dark 100% Cacao,1 serving (5 g),10,"0,5g",3g,1g,250mg,"1,00g"
Saluut Malkist Chocolate Coconut,2 keping (22 g),110,5g,14g,1g,,"1,00g"
Sponge Crunch Coklat,6 potong (20 g),100,5g,12g,1g,,"12,00g"
Superstar Wafer,1 wafer (28 g),150,8g,17g,2g,,"17,00g"
Chocolate Paste,4 bungkus (11 g),60,"3,5g",7g,1g,,10mg
Twist,1 bungkus (8 g),35,"1,5g",6g,1g,,20mg
White Chocolate,1 gelas (14 g),60,"1,5g",12g,0g,,"2,0g"
Zuperr Keju Choco,1 porsi (25 g),120,6g,17g,2g,,"6,00g"
Otico Biscuit Stick,1 porsi (35 g),190,11g,11g,65g,,
Almond Milk Chocolate,1 keping (30 g),170,11g,14g,4g,,25mg
Bites,1 pak (17 butir) (45 g),255,"17,4g","17,2g","6,3g",,"15,70g"
Choco Melt,100 ml,210,16g,15g,3g,,"3,00g"
Deka Mini Wafer Bites (Choco Choco),1 porsi (30 g),150,6g,21g,2g,"11,00g","0,000g"
Choco Knots,6 keping (15 g),70,3g,10g,1g,0mg,"1,00g"
Wafer Choco Blast,1 keping (21 g),110,6g,13g,1g,,"4,00g"
Sandwich Cokelat,1 bungkus (49 g),150,6g,21g,3g,,"3,00g"
Lose Weight,1 sachet (54 g),210,"1,5g",33g,14g,550mg,"14,00g"
Khong Guan Biscuits,1 takaran saji (40 g),190,6g,29g,3g,,"29,00g"
Permen Coklat Susu,100 gram (g),535,"29,66g","59,4g","7,65g",79mg,23mg
Chacha Peanut Milk Chocolate,1 butir (20 g),110,6g,12g,2g,,"10,00g"
Purefarm Swiss Chocolate (225ml),1 kotak (225 g),160,5g,24g,6g,,"24,00g"
Platinum Swiss Chocolate,1 bedak wangi (35 g),130,2g,21g,8g,,"8,00g"
Crunch Ice Cream,1 stick (75 ml),221,"16,7g","15,8g","1,2g",,
Cashew Dairy Milk Chocolate,1 bungkus (27 ml),150,10g,13g,3g,,"3,00g"
Dairy Milk Cashew Nut,1 porsi (30 g),160,10g,16g,3g,,"16,00g"
Choco Topping,2 sdm (30 g),80,0g,18g,1g,,10mg
Golden City Chocolate Balls,1 takaran saji (25 g),120,5g,18g,2g,,"11,00g"
Sexy Chocolate,100 g,84,"5,2g","3,9g","5,5g",,
Nestum (Susu+Coklat),1 sachet (32 g),120,1g,27g,3g,0mg,"3,00g"
Sandwich Triple Choco Delight,1 bungkus (40 g),130,4g,19g,3g,,"3,00g"
Astor,3 tongkat (26 g),130,5g,18g,2g,,"10,00g"
Topping Coklat,1 porsi (14 g),40,0g,9g,0g,,"0,00g"
Chocolatos Chocolate Drink,1 bungkus (28 g),110,"1,5g",22g,1g,,"22,00g"
Beng-Beng Drink,1 cangkir (31 g),120,2g,12g,1g,0mg,"1,00g"
Zap,1 porsi (30 ml),150,7g,19g,2g,,"16,00g"
Dairy Milk Coffee,"1 porsi (20,6 g)",110,6g,13g,1g,,"1,00g"
Chocolate Chip Hazelnut Cookies,1 porsi (17 g),90,"4,7g","10,6g",1g,,"1,0g"
Chocolate Flavour,1/2 bungkus (22 g),100,4g,15g,2g,,"7,00g"
Swiss Chocolate,1 porsi (28 g),110,2g,23g,1g,,45mg
Siip,1 bungkus (10 g),50,2g,7g,0g,,"7,00g"
Big Royal Chocolate,1 keping (20 g),100,4g,14g,1g,,"6,00g"
Milk Chocolate,1 porsi (28 g),150,9g,17g,2g,,"17,00g"
Blueberry Choco Chunk,100 ml,160,7g,22g,2g,,"13,00g"
Krim Cokelat Chocolate,1 porsi (60 g),220,8g,32g,4g,,"32,00g"
