nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Cornetto Red Velvet,1 porsi (120 ml),240,12g,31g,3g,,"31,00g"
Es Krim Cappuccino,100 g,120,6g,14g,2g,,40mg
Paddle Pop Mochi Chocolate Vanilla,1 bungkus (45 ml),90,"1,5g",18g,1g,10mg,"0,000g"
Es Doger,1 gelas,341,"5,95g","68,64g","3,52g",297mg,0mg
Cornetto Disc Chocolate,1 cone (120 ml),270,14g,33g,3g,,"33,00g"
Jcone Pari Pari Vanilla,1 porsi (120 ml),220,8g,35g,3g,,20mg
Brownie Alpukat,1 cangkir (110 ml),160,6g,23g,2g,"15,00g","2,500g"
Haku Tiramisu,1 gelas (110 ml),150,9g,17g,2g,,"13,00g"
Waku Waku Choco Berry Loop,1 sajian (50 ml),80,4g,11g,1g,"6,00g","0,000g"
Es Stik Rasa Nanas,1 bungkus (65 g),60,0g,16g,0g,,
Milky Strawberry,1 porsi (48 g),80,3g,11g,1g,,"9,00g"
Haku Classic,1 keping (90 ml),230,15g,23g,2g,0mg,"2,00g"
Es Krim Crunch,1 buah (75 ml),220,17g,16g,1g,,35mg
Solero,1 porsi (64 ml),80,"1,5g",15g,1g,,"15,00g"
Hula Hula Kacang Hijau,1 porsi (45 ml),110,6g,13g,1g,,"1,00g"
Gold Spirit,1 cangkir (115 ml),120,4g,18g,2g,30mg,"1,000g"
Solero Semangka,1 porsi (55 ml),50,0g,13g,0g,,
Viennetta,100 ml,150,9g,15g,1g,"12,00g","1,000g"
Chocolate Crispy,1 bungkus (60 g),240,21g,12g,1g,,"1,00g"
Waku Waku Choco Bomb,1 buah (60 ml),90,3g,15g,1g,,
Minions Vanila Caramel,1 takaran saji (90 ml),100,5g,12g,1g,35mg,"0,500g"
Es Krim Hula Hula Tape Ketan Hitam,1 bungkus (50 ml),120,7g,13g,2g,0mg,"2,00g"
Paddle Pop Fruity Bubbles,1 porsi (70 ml),25,0g,5g,0g,0mg,"0,00g"
Mango Slush,1 bungkus (65 g),80,"0,5g",18g,1g,,"1,00g"
Mochi Milky Coffee,1 porsi (45 ml),120,2g,24g,1g,0mg,"1,00g"
Waku Waku Strawberry Loop,1 bungkus (35 ml),40,1g,7g,0g,,
Es Krim Disajikan dengan Coklat Lunak,1 mangkok,355,"16,73g","48,22g","6,4g",86mg,43mg
Mochi Durian,1 porsi (45 ml),60,"1,5g",12g,0g,,"0,00g"
Concerto Strawberry Cookies,100 ml,270,15g,30g,3g,,90mg
Magnum Choco Cappuccino,1 porsi (70 g),230,12g,29g,2g,,
Hula Hula Ais Krim Pulut Hitam Tapai,1 porsi (50 ml),90,"3,5g",15g,1g,,20mg
Waku Waku Mango Loop,1 porsi (55 ml),70,1g,15g,0g,,
Es Krim Rasa Susu,1 porsi (40 g),80,"3,5g",11g,1g,,10mg
Es Krim Vanila Ringan,1 porsi setengah mangkok,125,"3,67g","19,61g","3,63g",56mg,21mg
Paddle Pop Happy Fruit,1 porsi (35 g),30,0g,7g,0g,0mg,"0,00g"
Fantastic Choco Banana,1 batang (90 ml),170,12g,13g,2g,,"13,00g"
Mocha Crispy,1 porsi (70 g),190,11g,21g,1g,,45mg
Cool Peach,1 bungkus (48 g),40,0g,10g,0g,,"9,00g"
Cone Es Krim Lapis atau Celup Coklat,1 cone,190,"8,78g","26,83g","3,18g",42mg,16mg
Frost Bite Pari Pari Vanilla (90g),1 gelas (90 ml),170,9g,20g,2g,,"15,00g"
Paddle Pop Pink Lava,1 porsi (56 ml),110,"4,5g",17g,1g,30mg,"2,000g"
Concerto Choco Passion,100 ml,240,14g,27g,3g,,30mg
Magnum Hazelnut Luxe,1 porsi (80 ml),230,14g,23g,3g,,"23,00g"
Magnum Golden Hazelnut,1 porsi (70 g),270,21g,18g,3g,,50mg
Milk Melon,1 bungkus (50 g),70,"2,5g",12g,1g,,"12,00g"
Frost Bite Pari Pari Chocomint,1 porsi (60 ml),160,10g,18g,2g,,"13,00g"
Mint Chocolate Chip,1 scoop (71 g),170,10g,17g,3g,,"3,00g"
Mochi Vanila,1 bungkus (30 g),70,1g,15g,1g,,"7,00g"
Hula Hula Jagung,1 porsi (50 ml),110,8g,9g,1g,,
Bazooka Cashew Nut,1 bar (90 ml),180,10g,20g,2g,,30mg
Haku Crunchy Malt,100 ml,250,15g,25g,3g,"19,00g","0,000g"
Tropical Float,1 porsi (390 g),210,2g,46g,1g,,"42,00g"
Frost Bite Kacang Hijau,1 batang (50 ml),120,6g,16g,1g,,
Waku Waku Watermelon,1 porsi (60 ml),80,"1,5g",15g,0g,,5mg
Concerto Midi Cookie Creamy,1 cone (80 ml),180,9g,23g,2g,,"13,00g"
Dung Dung Kacang Hijau,1 porsi (38 ml),90,5g,10g,1g,,"1,0g"
Magnum Almond,1 kemasan (90 ml),250,16g,23g,3g,"16,00g","4,000g"
Magnum White Almond,1 porsi (80 ml),210,14g,19g,3g,30mg,0mg
Ice Cream Sandwich,1 porsi (80 ml),140,3g,28g,2g,,"1,000g"
Cone Es Krim Ringan,1 kerucut dan celup tunggal (atau 1 kerucut kecil),122,"2,45g","21,89g","3,81g",56mg,8mg
Triple Shot Espresso,100 g,76,"2,6g","7,2g","6,2g",,
Magnum Infinity,1 porsi (90 ml),210,15g,18g,3g,,"2,0g"
Lu Ve Litee,1 porsi (110 ml),110,2g,21g,3g,,"3,00g"
Frutti Frizz,4 stik (92 g),60,0g,14g,0g,35mg,"0,000g"
Waku Waku Melon Loop,1 bungkus (32 ml),40,"0,5g",8g,0g,,5mg
Sajian Es Krim Lunak/Lembut,1 mangkok,384,"22,49g","38,41g","7,09g",106mg,157mg
Jcone Choco Vanilla,1 porsi (40 ml),90,"4,5g",12g,1g,,
Paddle Pop Shaky Shake,1 camgkir (150 ml),100,"3,5g",17g,1g,,"8,00g"
Cone Es Krim (Jenis Kue atau Wafer),1 cone,17,"0,28g","3,16g","0,32g",6mg,0mg
Ice Cream Cone,1 porsi,170,"4,5g",27g,5g,,"27,00g"
Paddle Pop Rainbow,1 porsi (50 ml),70,"2,5g",11g,0g,"8,00g","0,000g"
Es Krim Rasa Jagung Lapis Wafer,100 ml,80,"2,5g",13g,1g,"9,00g","0,500g"
Cornetto Strawberry Vanilla,1 cone (80 ml),150,5g,24g,2g,35mg,"1,500g"
Blueberry Choco Chunk,100 ml,160,7g,22g,2g,,"13,00g"
Es Krim Jagung,1 porsi (52 g),80,"3,5g",11g,1g,0mg,"1,00g"
Paddle Pop Monkey Banana,1 porsi (42 g),60,1g,12g,0g,,"12,00g"
Choco Melt,100 ml,210,16g,15g,3g,,"3,00g"
Waku Waku Happy Soda,1 porsi (60 ml),90,"2,5g",17g,1g,,15mg
Es Krim Rasa Taro,1 bungkus (45 g),80,3g,11g,2g,0mg,"2,00g"
Miki-Miki,1 batang (30 g),110,7g,9g,1g,,10mg
Cornetto Love Daifuku,1 porsi (135 ml),210,7g,33g,2g,55mg,"1,500g"
Strawberry Cheesecake,100 ml,100,"3,5g",16g,2g,,"2,00g"
Cornetto Unicorn,1 cone (134 ml),200,7g,31g,2g,,"31,00g"
Frost Bite Strawberry Sundae,1 gelas (90 g),120,"3,5g",19g,1g,,"1,00g"
Chocolate,1 porsi (40 ml),45,2g,6g,1g,,"5,00g"
Populaire,100 ml,80,"2,5g",13g,1g,,"13,00g"
Selection Oreo,100 ml,140,7g,17g,2g,,"11,00g"
Cone Es Krim Coklat,1 kerucut dan celup tunggal (atau 1 kerucut kecil),173,"7,43g","24,77g","3,18g",45mg,18mg
Es Krim Sandwich,"1 sandwich (13 cm x 4,5 cm x 2 cm)",143,"5,6g","21,75g","2,61g",37mg,20mg
McFlurry - Choco,1 sendok makan (285 g),245,"5,09g",45g,5g,"0,00g","0,000g"
Strawberry Sundae,1 porsi,291,"5,77g",56g,4g,,
Paddle Pop Choco Magma,1 stick (50 g),70,"2,5g",12g,1g,,"1,00g"
Neapolitan,100 ml,140,5g,20g,2g,,"13,00g"
