nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Permen Karet (tanpa Gula),1 buah,5,"0,01g","1,9g",0g,0mg,0mg
Es Loli (Bebas Gula),1 porsi 50 ml batang,12,0g,"2,83g",0g,,"2,83g"
Susu Kental Manis,1 sendok teh (10 ml),35,0g,12g,0g,,"0,000g"
Brondong Ketan,100 g,380,"1,5g",86g,6g,,"49,00g"
Sweetener,1 sachet (1 g),0,0g,1g,0g,,
Gula Jawa,1 sajian (20 ml),60,0g,21g,0g,"0,00g","0,000g"
Stroberi Beku dengan Gula,1 mangkok,222,"0,36g","59,82g","1,33g",5mg,0mg
Arenga Palm Sugar,1 porsi (30 g),120,0g,29g,0g,,"0,00g"
"Selai, Pengawet, Selai Jeruk (Rendah Gula)",1 sdm,26,"0,04g","6,57g","0,08g",0mg,0mg
Iced Gem Biscuits,1 sajian (30 g),127,"2,2g",25g,2g,,"2,00g"
Saus Apel dengan Gula,"1 mangkok, saus",194,"0,46g","50,77g","0,46g",8mg,0mg
Donat Dilapisi Gula atau Coklat Mengkilat,"1 donat (diameter 9,5 cm)",250,"11,94g","34,44g","2,7g",204mg,34mg
Es Kopi dengan Krim dan Gula,1 cangkir kopi (180 ml),50,"1,42g","9,14g","0,38g",11mg,0mg
Palm Sugar,100 g,390,0g,95g,1g,,"0,000g"
Kue Gula (dengan Margarin),"1 kue (diameter 7,5 cm)",66,"3,28g","8,4g","0,83g",69mg,4mg
Organic Coconut Sugar,1 tsp (4 g),15,0g,4g,0g,"3,00g","0,000g"
Stroberi dengan Gula,"1 mangkok, irisan",87,"0,49g","21,4g","1,11g",2mg,0mg
Sweetener,"1 pcs (0,09 g)",0,0g,0g,0g,"0,00g","0,000g"
Barista Special Blend,1 sachet (25 g),100,0g,23g,1g,,"19,00g"
Fruit Tea Lemon,1 porsi (250 ml),100,0g,26g,0g,,"0,00g"
Sugar Crackers,3 keping (25 g),110,4g,17g,2g,,"2,00g"
Hanya Untukmu Black Aren,1 porsi (220 ml),190,"3,5g",36g,3g,,"36,00g"
Kakao dan Campuran Gula (dengan Susu Rendah Lemak),1 cangkir,178,"2,75g","30,1g","8,6g",133mg,13mg
Sumpia Udang Pedas,1 biji (20 g),100,"4,5g",12g,2g,,115mg
Fruit Tea Apel,1 porsi (250 ml),120,0g,30g,0g,,55mg
Coconut Sugar,1 sdm (10 g),40,0g,9g,0g,,"0,0g"
Cone Es Krim Sugar Cone,1 serving (13 g),50,1g,11g,1g,,"4,00g"
Cinnamon Sugar Pretzel,1 pretzel (137 g),470,12g,84g,8g,,"2,0g"
Kue Wortel tanpa Lapisan (Gula),1 buah (1/10  20 cm atau diamater 23 cm ),241,"13,48g","28,47g","2,45g",119mg,38mg
Teh Botol Kotak,1 kotak (330 ml),60,0g,15g,0g,,
Nulife Sweetener,"1 bedak wangi (1,5 g)",5,0g,1g,0g,0mg,"0,00g"
Teh Botol Less Sugar,1 botol (225 ml),45,0g,11g,0g,,45mg
Es Kopi dengan Susu dan Gula,1 cangkir kopi (180 ml),30,"0,14g","7,14g","0,31g",6mg,0mg
Kakao dan Campuran Gula (dengan Susu Skim),1 gelas,158,"0,7g","29,97g","8,6g",128mg,5mg
Kue Mentega atau Gula,1 kecil (diameter 5 cm ),43,"1,94g","5,9g","0,49g",38mg,5mg
Kacang Kemiri Kering Sangrai (tanpa Tambahan Gula),100 gram (g),710,"74,27g","13,55g","9,5g",1mg,0mg
Rasa Apel,1 pack (200 ml),100,0g,24g,0g,,50mg
Stevia Sweetener,"1 bungkus (2,6 g)",0,0g,3g,0g,,"0,00g"
Coconut Sugar,3 sdt (15 g),160,0g,14g,0g,"14,00g","0,000g"
Tebs,1 botol (500 ml),240,0g,60g,0g,0mg,"0,00g"
Es Krim Vanila Ringan (tanpa Tambahan Gula),1 porsi setengah mangkok,105,"5,07g","14,57g","2,7g",65mg,18mg
"Kopi (Bubuk Rasa Cappuccino, Instan, dengan Gula)",1 porsi 1 (57 g) bungkus,231,"3,17g","48,99g","1,77g",103mg,1mg
Palm Sugar,100 g,368,10g,76g,3g,,76mg
Steleaf,1 tas (2 g),10,0g,0g,0g,,2mg
Low Calorie Sweetener,"1 tablet (0,085 g)",0,0g,0g,0g,,
Salted Caramel Macchiato,1 porsi (200 g),130,"4,5g",19g,3g,,
Kue Mangkok dengan Lapisan (Gula),100 gram (g),370,"10,96g","67,8g","2,85g",319mg,21mg
Pudding Lapis Rasa Gula Jawa,1 porsi (38 g),170,"4,5g",31g,1g,,140mg
Kakao Bubuk (tanpa Gula),1 sdm,12,"0,74g","2,93g","1,06g",1mg,0mg
Luwak White Koffie Less Sugar,1 gelas (20 g),90,"2,5g",16g,0g,,"0,00g"
Orange Cocoa,1 sachet (15 g),60,2g,10g,2g,,"4,00g"
Palm Sugar,1 sendok teh (5 g),18,0g,5g,0g,"5,00g","0,000g"
Kue Gula (Termasuk Vanilla),1 kue,72,"3,16g","10,18g","0,76g",54mg,8mg
Gula,"1 bedak wangi (2,5 g)",5,0g,2g,0g,0mg,"0,00g"
Gula,100 g,0,0g,1g,0g,"0,00g","0,000g"
Sirup Fruktosa,1 porsi (10 g),35,0g,8g,0g,,
Sweetener Diabtx,1 sachet (2 g),0,0g,2g,0g,0mg,"0,00g"
Gula Bubuk,1 sdt,10,0g,"2,49g",0g,0mg,0mg
Gula Putih (Butiran atau Gumpalan),1 sdt,16,0g,"4,2g",0g,0mg,0mg
Gula Aren,2 sdm (30 g),120,0g,29g,0g,,"2,0g"
Coffee Candy White Coffee,"1 porsi (2,7 g)",10,0g,2g,0g,,"2,00g"
Sweetener Classic,"1 sachet (2,5 g)",5,0g,2g,0g,0mg,"0,000g"
Gula,1 sdt,16,0g,"4,2g",0g,0mg,0mg
Gula Merah,"1 sdt, bongkahan",11,0g,"2,92g",0g,1mg,0mg
Gula Pasir,1 sdt,16,0g,"4,2g",0g,0mg,0mg
Minuman Rasa Limun dengan Gula (Dibuat dengan Bubuk Campuran),1 gelas(240 ml),92,0g,"22,52g",0g,10mg,0mg
Brownies dengan Lapisan (Gula),1 brownies (5 cm persegi),170,"6,85g","26,84g","2,02g",131mg,7mg
Gula,1 sachet (1 g),0,0g,1g,0g,0mg,"0,00g"
Kue Wortel dengan Lapisan (Gula),"1 buah (1/10 1-lapis, diameter 20 cm atau 23 cm)",326,"16,7g","42,37g","3,09g",147mg,48mg
Gula,1 sachet (1 g),0,0g,1g,0g,0mg,"0,00g"
Honey Sweetener,"1 sachet (2,5 g)",5,0g,2g,0g,,0mg
Classic Sweet Taste,1 stick (1 g),0,0g,1g,0g,0mg,"0,000g"
Fiberwafer Chocolate,1 bungkus (18 g),90,"4,5g",12g,1g,,"1,00g"
Donat Dilapisi Gula,1 sedang (berdiameter sekitar 7 cm),192,"10,3g","22,86g","2,34g",46mg,14mg
Sweetener Lemon-C,"1 sachet (2,5 g)",5,0g,2g,0g,0mg,"0,00g"
