nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Sushi,1 buah,37,"0,11g","7,77g","1,12g","1,63g","0,033g"
Chinese Blackpepper Fish with Cu Chao Mian + Fuyunghai,1 porsi (50 g),473,13g,49g,40g,,
Ikan Lele Panggang,"1 irisan (13,5 cm x 5 cm x 1 cm)",116,"7,38g","0,26g","11,44g","0,06g","3,486g"
Pepes Tongkol,100 gram (g),105,"1,27g","7,1g","15,93g","3,94g","0,364g"
Siomay Ikan,100 g,160,5g,18g,10g,,"18,00g"
Dory Fire with Cheese Sauce & Butter Brown Rice + Cheesy Wedges,1 porsi,469,13g,46g,42g,,"6,0g"
Tom Yum Suki Set,1 porsi,459,11g,50g,40g,,"6,0g"
Sarden dengan Saus Tomat (Campuran),1 mangkok,166,"9,31g","0,66g","18,57g","0,38g","4,291g"
Tuna dalam Air (Kalengan),100 gram (g),116,"0,82g",0g,"25,51g",0g,"0,159g"
Tuna Bumbu Rica-Rica,100 g,90,"2,5g",4g,13g,,1290mg
Ikan Todak,100 gram (g),121,"4,01g",0g,"19,8g",0g,"1,545g"
Ikan Pesmol with Nasi Liwet + Tahu Tektek,1 porsi,465,13g,46g,41g,,"6,0g"
Keecho,100 g,200,10g,12g,16g,,"1,00g"
Ikan Kod Atlantik,1 irisan,189,"1,55g",0g,"41,14g",0g,"0,217g"
Pempek Adaan,100 gram (g),164,"3,92g","27,23g","5,04g","6,33g","0,86g"
Tuna Chunk in Vegetable Oil,100 g,130,4g,1g,22g,,"22,00g"
Salmon Kalengan,100 gram (g),144,"6,28g",0g,"20,57g",0g,"1,856g"
Ikan Lele,1 porsi (85 g),204,"12,35g","7,26g","14,93g","0,72g","5,51g"
Dimasak Hidup-hidup,100 gram (g),133,"4,24g","0,41g",22g,"0,09g","1,621g"
Crab Flavored Stick,1 porsi (15 g),20,0g,3g,1g,,"1,00g"
Ikan Tuna Panggang,100 gram (g),153,"3,96g","0,41g","27,3g","0,09g","1,529g"
Tuna dalam Minyak (Kalengan),100 gram (g),198,"8,21g",0g,"29,13g",0g,"2,949g"
Sardines dalam Saus Cabai,1 takaran (50 g),90,"4,5g",2g,12g,,35mg
Sardines in Tomato Sauce,1 porsi (70 g),120,8g,1g,11g,,"11,00g"
Ikan Salmon Liar Atlantik,1/2 irisan,281,"12,55g",0g,"39,28g",87mg,"4,164g"
Ikan Acar Kuning with Ulam Red Rice + Tempe Bakar Bacem,1 porsi,469,13g,47g,41g,,"6,0g"
Snack Ikan,1 porsi (10 g),30,0g,5g,2g,,"1,00g"
Ikan Kod,100 gram (g),211,"10,84g","8,25g","19,2g","0,82g","4,457g"
Ikan Salmon,100 gram (g),146,"5,93g",0g,"21,62g",0g,"2,134g"
Tuna Sirip Biru (Ikan),100 gram (g),144,"4,9g",0g,"23,33g",0g,"1,6g"
Sardines Dalam Saus Extra Pedas,1 porsi (50 g),50,1g,3g,9g,,"9,00g"
"Halibut (Ikan) Atlantik dan Pasifik (Dimasak, Panas Kering)",1/2 irisan,223,"4,67g",0g,"42,44g",110mg,"1,538g"
Fish Dumpling Cheese,1 buah (20 g),30,"1,5g",2g,2g,,"2,00g"
Ikan Todak Masak,100 gram (g),177,"8,23g","0,49g","23,8g","0,11g","3,47g"
Ikan Gindara,100 gram (g),126,"6,91g",0g,"14,9g",0g,"2,914g"
Brazilian Fish Stew With Garlic Spaghetti,1 porsi,480,12g,55g,38g,,"6,0g"
Gordon Ramsay Salmon en Croute,1 portion,485,13g,49g,43g,,"6,0g"
"Ikan Tuna Ringan (Kering Padat dalam Air, Kalengan)",1 kaleng,191,"1,35g",0g,"42,09g",0g,"0,262g"
"Ikan Putih Tuna (Kering Padat dalam Air, Kalengan)",1 kaleng,220,"5,11g",0g,"40,63g",0g,"1,348g"
Ikan Kod Pacifik,1 irisan,95,"0,73g",0g,"20,76g",0g,"0,095g"
Telur Ikan,100 gram (g),204,"8,23g","1,92g","28,62g",117mg,"2,129g"
Ikan Forel Pelangi (Ditambak),1 irisan,109,"4,27g",0g,"16,49g",0g,"1,216g"
Salmon Asap,1 buah,23,"0,86g",0g,"3,66g",0g,"0,405g"
Ikan Baung,100 g,144,"5,8g","5,2g","17,8g",,168mg
Dory Stick,1 porsi (67 g),150,6g,15g,9g,,"9,00g"
Ikan Kod Panggang,100 gram (g),122,"3,59g","0,41g","20,91g","0,09g","1,445g"
Fish Snack,1 porsi (10 g),30,0g,5g,2g,,260mg
Dipanggang Hidup-hidup,1 irisan (16 cm x 9 cm x 2 cm),173,"5,51g","0,53g","28,6g","0,12g","2,107g"
Kue Ikan atau Patty,1 kue atau pastel,241,"12,59g","14,86g","16,38g","1,03g","5,302g"
Ikan Tuna Bumbu Pepes,100 g,110,"4,5g",6g,12g,,"3,00g"
Pempek Kulit,100 gram (g),243,"7,01g","38,46g","6,49g","8,98g","3,44g"
Fish Nugget,100 g,170,"1,5g",32g,8g,,830mg
Ikan Dori,100 g,84,"4,11g",0g,"11,02g","0,00g","1,973g"
Fish Bites,1 porsi (96 g),250,13g,21g,11g,,25mg
Katsuobushi,100 gram (g),340,"2,26g","2,34g","76,8g","2,34g","1,106g"
Ikan Putih,100 gram (g),172,"7,51g",0g,"24,47g",65mg,"2,559g"
Ikan Cucut,1 potong,191,"1,87g",0g,"40,7g",68mg,"0,352g"
Gurame,100 g,125,"5,49g",0g,"17,48g",326mg,65mg
Ikan Lemuru,100 gram (g),112,"2,98g",0g,20g,0g,"1,1g"
Mackerel,1 porsi (70 g),60,"1,5g",3g,9g,,45mg
Ikan Asin,100 gram (g),195,"1,59g",0g,"42,16g",0g,"0,23g"
Batagor,1 potong,58,"2,98g","5,83g","2,06g","0,71g","1,455g"
Siomay,1 potong,51,"0,85g","6,03g","4,54g","0,09g","0,235g"
Pempek,1 potong,39,"1,04g","4,72g","2,52g","0,1g","0,234g"
Pindang Patin,100 gram (g),130,"4,4g","5,14g","16,93g","1,35g","1,617g"
Makarel,1 porsi (70 g),90,"1,5g",3g,16g,,"16,00g"
Tuna Sirip Kuning (Ikan),100 gram (g),108,"0,95g",0g,"23,38g",0g,"0,154g"
Ikan Sarden Di dalam Air,100 gram (g),217,"12,37g",0g,"24,58g",0g,"5,112g"
Ikan Marlin,100 gram (g),108,"0,87g",0g,"23,59g",0g,"0,062g"
Ikan Pecak Atlantik dan Pacifik,100 gram (g),110,"2,29g",0g,"20,81g",0g,"0,75g"
Ikan Sarden dalam Minyak (Kalengan),1 ikan sarden,25,"1,37g",0g,"2,95g",0g,"0,464g"
Ikan Layur,100 gram (g),88,"1,02g","0,38g","18,04g",0g,"0,165g"
Pepes Ikan Mas,1 ekor sedang,491,"23,16g","0,78g","66,06g","0,08g","11,556g"
Ikan Belanak,100 gram (g),117,"3,79g",0g,"19,35g",0g,"1,078g"
Fish Fillet,"1 porsi (132,39 g)",330,"14,44g","37,22g","12,92g",,"12,92g"
Ikan Mas Goreng,1 gram (g),1,"0,04g",0g,"0,18g",0g,"0,019g"
Ikan Pari,100 gram (g),89,"0,93g",0g,19g,0g,"0,167g"
Ikan Teri Kering,100 g,170,3g,0g,"33,4g",,544mg
Ikan Dori,100 gram (g),84,"4,11g",0g,"11,02g",0g,"1,973g"
Lele Goreng,100 gram (g),105,"2,85g",0g,"18,47g",50mg,"1,099g"
Ikan Gurame Asam Manis,100 gram (g),194,"10,16g","12,44g","12,54g","0,5g","2,877g"
Salmon Masak,100 gram (g),139,"4,3g",0g,"23,45g",0g,"1,581g"
Ikan Bandeng,100 gram (g),148,"6,73g",0g,"20,53g",72mg,"2,58g"
Ikan Wader,100 gram (g),84,"2,27g",0g,"14,88g",0g,"0,673g"
Ikan Mas,100 gram (g),87,"2,08g",0g,"16,01g",0g,"0,423g"
Ikan Tenggiri,100 gram (g),121,"3,3g",0g,"21,4g",0g,"0,749g"
Ikan Gurame,100 gram (g),125,"5,49g",0g,"17,48g",0g,"2,282g"
Ikan Belanak Goreng,100 gram (g),169,"9,2g","2,51g",18g,"0,22g","4,295g"
Ikan Selar,100 gram (g),100,"2,21g",0g,"18,76g",0g,"0,752g"
Ikan Salem,100 gram (g),158,"7,89g",0g,"20,07g",0g,"2,629g"
Ikan Kerapu,100 gram (g),92,"1,02g",0g,"19,38g",53mg,"0,202g"
Ikan Tuna,100 gram (g),108,"0,95g",0g,"23,38g",0g,"0,154g"
Nila (Ikan),100 gram (g),96,"1,7g",0g,"20,08g",0g,"0,486g"
Ikan Pindang,100 g,153,"2,8g",0g,30g,,"0,0g"
Ikan Bawal,100 gram (g),84,"1,22g",0g,"17,21g",0g,"0,236g"
Ikan Patin,100 gram (g),89,"2,96g",0g,"14,91g",0g,"1,169g"
Ikan Cakalang,100 gram (g),132,"1,29g",0g,"28,21g",47mg,"0,243g"
Kakap (Ikan) (Spesies Campuran),100 gram (g),100,"1,34g",0g,"20,51g",0g,"0,251g"
Ikan Bandeng Goreng,100 gram (g),233,"16,4g","2,38g","18,08g","0,2g","8,401g"
Ikan Mujair,100 gram (g),88,"1,34g",0g,"18,66g",0g,"0,355g"
Ikan Tongkol Asampadeh,100 g,119,"3,5g","6,1g","15,7g",,
"Nila (Ikan) (Dimasak, Panas Kering)",100 gram (g),128,"2,65g",0g,"26,15g",0g,"0,955g"
Ikan Layang,100 gram (g),112,"1,75g",0g,"22,72g",0g,"0,436g"
Ikan Tongkol,100 gram (g),110,"0,92g",0g,"23,87g",0g,"0,155g"
Ikan Panggang,"1 irisan (16 cm x 7,5 cm x 1 cm)",142,"3,89g","0,37g","24,79g","0,09g","1,455g"
Ikan Kembung Balado,100 gram (g),163,"7,37g",2g,"21,13g","0,46g","3,234g"
Ikan Mujair Goreng,100 gram (g),169,"6,92g","2,22g","24,55g","0,19g","3,45g"
Ikan Kembung,100 gram (g),167,"9,36g",0g,"19,32g",0g,"3,205g"
Ikan Tongkol Goreng,100 gram (g),200,"11,41g","2,38g","20,95g","0,2g","6,318g"
Ikan,100 gram (g),84,"0,92g",0g,"17,76g",0g,"0,16g"
Pecel Lele,1 porsi (150 g),292,"17,22g","11,9g","23,06g","9,67g","8,357g"
Bakso Ikan,100 gram (g),107,"1,23g","11,72g","11,27g","0,11g","0,351g"
Fish Cake,1 porsi (20 g),20,0g,3g,2g,,"2,00g"
Crab Stick,1 stick (16 g),15,0g,3g,1g,,"1,00g"
Bakso Ikan,1 buah (12 g),35,0g,4g,1g,,
Terasi,100 g,155,"2,9g","9,9g","22,3g",0mg,0mg
Bandeng Presto,1 porsi (200 g),341,"16,44g","13,53g","33,75g","0,49g","7,222g"
Steamboat,1 porsi (20 g),30,1g,4g,2g,,270mg
Ikan Salmon Panggang,100 gram (g),171,"7,56g","0,49g","23,97g","0,11g","2,736g"
Sate Lilit,100 gram (g),257,"18,07g","3,58g","19,58g","1,41g","6,736g"
Tofu Fish Cake,1 porsi (20 g),45,"3,5g",3g,2g,,"0,00g"
Nata De Coco,1 porsi (225 g),150,0g,37g,0g,,"37,00g"
Fish Scallop,1 porsi (12 g),25,1g,4g,1g,,120mg
Dory Sambal Sereh,1 porsi,350,18g,17g,30g,,
Pangasius Fillet,1 serving (175 g),112,1g,3g,22g,324mg,30mg
Sarden dalam Saus Tomat,1 porsi (70 g),120,8g,1g,11g,,"11,00g"
Snapper Capsicum Sauce with Arrabbiata Pasta,1 porsi,460,12g,50g,38g,,"6,0g"
Chicken Rendang,100 g,320,23g,10g,18g,,"10,00g"
Pempek,1 saji (52 g),100,3g,14g,4g,,"14,00g"
Nasi Bakar Ikan Cakalang,1 porsi (265 g),520,12g,84g,19g,,"84,00g"
Fish And Chips,1 porsi,445,13g,49g,33g,,"6,0g"
Crab Stick,100 g,150,"2,5g",27g,5g,,"0,0g"
Fillet O Fish Burger,1 porsi,465,13g,50g,37g,,"6,0g"
Chikuwa,1 porsi (12 g),15,0g,3g,1g,,105mg
Italian Chicken Hamburg & Lemonade Fish Picatta with Aglio e Olio Pasta + Garlic Bread,1 serving,464,12g,49g,40g,,"6,0g"
Baked Dory with Tartar Sauce & Potato Gratin + Creamy Corn Soup,1 porsi,461,13g,45g,41g,,"6,0g"
Oriental Cartoon,1 porsi (10 g),10,0g,2g,1g,,"2,00g"
Ikan Saus Nyonya with Nyonya Herb Rice,100 g,465,13g,46g,41g,,"6,0g"
Balinese Dory Sambal Mbe,1 serving,372,20g,20g,28g,,
Mini Wonton,1 porsi (50 g),160,7g,17g,5g,,290mg
Snapper Thermidor with Potato Bravas + Crispy Tortilla,1 porsi,452,12g,48g,38g,,"6,0g"
Fish Lodeh with Shallot Red Rice + Spring Roll,1 porsi (350 g),469,13g,46g,42g,,"6,0g"
Baked Dory with Gochujang Sauce and Red Bean Rice,1 porsi,443,11g,49g,37g,,"6,0g"
Scallop,100 g,160,"2,5g",26g,7g,,"26,00g"
Baso Ikan,1 piece (20 g),20,0g,3g,2g,,15mg
Snek Ikan,6 buah (8 g),25,0g,4g,2g,,170mg
Bola Kepiting,100 g,170,7g,19g,8g,,"19,00g"
Crab Flavowred Nugget,1 sajian (12 g),15,0g,2g,1g,,"0,00g"
Baked Dory Honey Mustard with Mushroom Creamy Fettuccine + Roasted Pineapple,1 porsi,481,13g,51g,40g,,"6,0g"
Kung Pao Fish with Yang Chow Fried Rice,1 serving (250 g),473,13g,47g,42g,,
Gindara Cacciatore with Garlic Pasta + Caramelized Onion Pizza,1 porsi,481,13g,51g,40g,,"6,0g"
Pan Seared Fish with Singapore Sauce & Hainanese Red Rice,100 g,457,13g,45g,40g,,"6,0g"
Fine Diet Fish Finger + Potato Wedges,1 porsi (200 g),445,13g,46g,36g,,"6,0g"
Baked Dory with Mango Sauce &  Tom Yum Fried Rice + Crispy Mushroom,1 porsi (105 g),461,13g,46g,40g,,"6,0g"
Bakso Ikan Pedas,6 bakso (45 g),80,"4,5g",6g,4g,,"4,00g"
Sumpia Udang Pedas,1 biji (20 g),100,"4,5g",12g,2g,,"3,00g"
Fish Burger Slim,1 porsi,375,14g,33g,29g,,
Fish & Chips,1 porsi,680,45g,49g,18g,,"18,00g"
Chuka Kurage,1 porsi (68 g),105,0g,0g,3g,,
Honey Garlic Dory,1 porsi,382,18g,35g,20g,,
Chikuwa,1 piece (12 g),15,0g,3g,1g,110mg,0mg
Fish and Chips,1 serving,420,"3,61g","49,51g","50,12g","5,1g","1,195g"
Tuna Kari,1 porsi (40 g),50,"2,5g",3g,5g,,"5,00g"
Mackarel,1 porsi (70 g),130,8g,1g,13g,,"13,00g"
Ikan Trout Panggang,100 gram (g),188,"9,16g","0,41g","24,37g","0,09g","3,145g"
Baso Ikan Dan Udang,1 porsi (12 g),20,"1,5g",2g,1g,,40mg
Ikan Forel Pelangi Liar,1 irisan,189,"5,5g",0g,"32,56g",49mg,"1,795g"
Ikan Kembung Atlantik,1 irisan,230,"15,56g",0g,"20,83g",0g,"6,111g"
Pempek Ikan Tilapia,1 porsi (60 g),120,"3,5g",17g,5g,,"17,00g"
Fish Shumai,4 porsi (82 g),160,7g,15g,9g,,370mg
Fillet-O-Fish,1 porsi,339,14g,"39,9g","13,8g",,
Steam Fish Saus Hongkong with Yang Chow Fried Rice + Crispy Mushroom,1 serving,461,13g,45g,41g,,"6,0g"
Ikan Salmon Atlantik (Ditambak),100 gram (g),183,"10,85g",0g,"19,9g",59mg,"3,868g"
Sarden Saus Sambal,1 porsi (60 g),110,7g,5g,7g,,"7,00g"
Dory Parmigiana with Potato Gratin + Croutons,1 porsi,470,14g,45g,41g,,"6,0g"
Ikan Manyung,100 gram (g),98,"2,66g",0g,"17,26g",0g,"1,027g"
Salmon Ball,1 porsi (16 g),20,1g,2g,1g,,"2,00g"
Baked Fish Salsa With Raisin Rice,1 porsi,443,11g,48g,38g,,"6,0g"
Bakso Ikan Dan Udang,1 takaran saji (12 g),20,"1,5g",2g,1g,,40mg
Brondong Ketan,100 g,380,"1,5g",86g,6g,,"86,00g"
Tuna Bumbu Kari,100 g,90,"2,5g",3g,13g,,400mg
Baked Dory Honey Mustard with Mushroom Creamy Fettucine,1 serving (110 g),481,13g,51g,40g,,"6,0g"
"Ikan Teri (Kering Padat dalam Minyak, Kalengan)",5 ikan teri,42,"1,94g",0g,"5,78g",0g,"0,754g"
Acar Ikan Haring,"1 buah (4,5 cm x 2,25 cm x 1,25 cm)",39,"2,7g","1,45g","2,13g","1,16g","1,792g"
Ikan Tuna Kalengan,100 gram (g),116,"0,82g",0g,"25,51g",0g,"0,159g"
Salmon Merah Muda,100 gram (g),116,"3,45g",0g,"19,94g",0g,"0,934g"
Dory Sambal Embe with Nasi Goreng Bali + Tempe Betutu,1 porsi,469,13g,47g,41g,,"6,0g"
