nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Pastry Diisi dengan Kentang dan Kacang (Goreng),1 samosa reguler,308,"17,86g","32,21g","4,67g","1,26g","5,836g"
"Kacang Merah (dengan Garam, Dimasak, Direbus)",1 mangkok,225,"0,88g","40,36g","15,35g",421mg,"0,069g"
Kacang Sangrai Kering (tanpa Garam),1 kacang,6,"0,5g","0,22g","0,24g","0,04g","0,246g"
Kacang Sangrai Kering (dengan Garam),1 kacang,6,"0,5g","0,22g","0,24g","0,04g","0,246g"
Kacang Polong dan Wortel (Beku),1/2 mangkok,37,"0,33g","7,8g","2,38g",55mg,"0,027g"
Kacang Lima,1 mangkok,176,"1,34g","31,47g","10,67g","2,31g","0,078g"
Kacang Kapri,100 gram (g),98,"0,44g","17,59g","6,64g","3,66g","0,036g"
Bumbu Kacang,1 sdm,75,"5,23g","6,15g","2,02g","4,58g","2,691g"
Selai Kacang dan Sandwich Jeli,1 sandwich,327,"14,23g","42,23g","10,32g","12,11g","6,229g"
Cabe dengan Kacang-Kacangan (Kalengan),1 sdm,18,"0,88g","1,91g","0,91g","0,21g","0,373g"
Kacang Mete,100 gram (g),581,"47,77g","30,16g","16,84g","5,01g","25,923g"
Tumis Kacang Panjang dan Tempe,1 porsi (110 g),155,"9,39g","10,62g","9,87g","0,95g","3,929g"
Kacang Sangrai Campuran dengan Kacang Tanah,1 10 porsi kacang pilihan,86,"7,89g",3g,"2,35g","0,59g","4,437g"
"Kacang Campuran Sangrai Kering (dengan Kacang Tanah, dengan Tambahan Garam)",100 gram (g),594,"51,45g","25,35g","17,3g","4,64g","31,395g"
Kacang Tolo,100 gram (g),114,"0,58g","20,67g","7,38g",0g,"0,052g"
Selai Kacang Halus (dengan Garam),2 sdm,188,"16,12g","6,26g","8,03g","2,95g","7,588g"
Kacang Rebus,"1 mangkok, berkulit, hasil dimakan",200,"13,87g","13,39g","8,5g","1,56g","6,88g"
Kacang Pinus Kering,100 gram (g),673,"68,37g","13,08g","13,69g","3,59g","18,764g"
Kacang Hijau (Beku),1/2 mangkok,55,"0,27g","9,87g","3,75g","3,87g","0,024g"
Bubur Kacang Hijau,100 gram (g),108,"3,06g","17,76g","3,54g","8,35g","0,136g"
Kacang Belang (Biji Matang),1 mangkok,670,"2,37g","120,72g","41,34g","4,07g","0,442g"
"Sayuran Campur (Jagung, Kacang Lima, Kacang Polong, Kacang Hijau, Wortel) (tanpa Tambahan Garam, Kaleng)",1 mangkok,67,"0,36g","13,3g","2,55g","4,46g","0,04g"
Sandwich Selai Kacang,1 sandwich,342,"16,89g","37,94g","12,23g","5,45g","7,397g"
Selai Kacang dan Jeli,1 sdm,65,"3,47g","7,72g","1,74g","5,31g","1,632g"
Kacang Panggang Vegetarian,1 mangkok,239,"0,94g","53,7g","12,06g","22,96g","0,211g"
Kacang Hijau Dimasak (Kalengan),1 mangkok,150,"4,31g","21,51g","7,54g","7,09g","1,804g"
Kacang Mete Sangrai Asin,100 gram (g),581,"47,77g","30,16g","16,84g","5,01g","25,923g"
Kacang Macadamia Sangrai Kering (dengan Tambahan Garam),100 gram (g),716,"76,08g","12,83g","7,79g","4,14g","59,275g"
Kacang Kemiri Kering Sangrai (tanpa Tambahan Gula),100 gram (g),710,"74,27g","13,55g","9,5g","4,06g","43,957g"
Kacang Merah (Kalengan),1 mangkok,218,"0,87g","39,91g","13,44g","0,56g","0,069g"
Kacang Arab,100 gram (g),364,"6,04g","60,65g","19,3g","10,7g","1,358g"
Kacang Kemiri,100 gram (g),691,"71,97g","13,86g","9,17g","3,97g","40,801g"
Kacang Panggang,100 gram (g),151,"5,15g","21,39g","5,54g",422mg,"2,133g"
