nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Bumbu Ayam Goreng Bacem,1 potong (15 g),40,0g,9g,0g,,"0,00g"
Mie Sukses Isi 2 Rasa Kari Ayam,1 bungkus (116 g),520,21g,70g,13g,,"70,00g"
Saus Katsu,1 porsi  (15 ml),20,0g,5g,0g,,"4,00g"
Pengganti Kecap Asin,1 porsi (10 ml),0,0g,1g,0g,,"1,00g"
Kecap Asin (Kedelai) (Rendah Sodium),1 sdm,10,"0,01g","1,53g","0,93g",600mg,0mg
Saus Tomat (Kalengan),1 mangkok,78,"0,59g","18,06g","3,23g",1284mg,0mg
Isi 2 Mi Goreng Rasa Ayam Kecap,1 porsi (126 g),560,24g,77g,10g,,"5,0g"
Rumput Laut (Disiapkan dengan Kecap Asin),1 mangkok,41,"0,41g","7,57g","3,73g",1051mg,0mg
Premium Soy Sauce,1 sdm (15 ml),10,0g,2g,1g,,1200mg
Tomato Ketchup,1 tbsp (17 g),15,0g,4g,0g,45mg,"0,00g"
Kecap Asin (Tamari),1 sdm,11,"0,02g",1g,"1,89g",1005mg,0mg
Mikuya Ramen Rasa Kecap Pedas Ala Jepang,1 bungkus (94 g),430,17g,60g,8g,,"3,0g"
Salad Dressing Kecap Ala Jepang,1 tbsp (25 ml),90,5g,10g,1g,"3,00g","0,000g"
Saus Mie Jepang,1 sdm (15 g),20,0g,5g,1g,"4,00g","0,000g"
Mie Goreng Rasa Ayam Kecap,1 bungkus (126 g),580,24g,79g,12g,,"79,00g"
Sambal Bajak,1 porsi (15 g),40,"2,5g",4g,0g,,"4,00g"
Saus Koktail,1 gelas,221,"1,17g","56,87g","4,12g",2364mg,0mg
Sambal Terasi Uleg,1 sendok (23 g),50,3g,6g,1g,,"3,00g"
"Ayam atau Kalkun dan Sayuran dengan Kecap Kedelai (Termasuk Wortel, Brokoli, dan/atau Sayur Berdaun Hijau Tua, tanpa Kentang, Campuran)",1 mangkok,180,"8,59g","9,28g","15,86g",616mg,42mg
Kecap Asin Khas Jepang,1 porsi (15 ml),10,0g,1g,1g,,860mg
Kecap Inggris,100 ml,77,0g,19g,0g,800mg,"0,00g"
Saus Tomat,1 sdm,15,"0,06g","3,76g","0,26g",167mg,0mg
Kecap Extra Pedas,1 porsi (19 g),45,0g,11g,0g,,"7,00g"
Kecap Asin,1 sdm (10 ml),15,0g,4g,1g,,"2,00g"
Kecap Asin (Kedelai),1 sdm,8,"0,01g","1,22g",1g,902mg,0mg
Kecap Manis,1 sendok makan  (15 ml),70,0g,14g,0g,,"1,0g"
Pengganti Kecap Manis,1 sdm (10 ml),30,0g,10g,0g,"0,00g","0,000g"
Kecap Manis Pedas Rawit,1 sdm (15 ml),40,0g,10g,0g,,"0,0g"
Kecap Manis,100 ml,300,0g,90g,0g,,"0,000g"
Kecap Manis Light,1 sdm (20 ml),40,0g,10g,0g,"8,00g","0,000g"
Kecap Asin Oriental,1 porsi (15 ml),10,0g,2g,1g,,580mg
Kecap Asin,1 sdm (15 ml),5,0g,1g,1g,,"0,00g"
Kecap Manis,1 sdm (14 g),45,0g,11g,0g,230mg,"0,000g"
Kecap Manis Rasa Daging Asap,1 takaran saji (15 g),35,0g,8g,0g,"6,00g","0,000g"
Kecap Manis Sedaap,1 sdm (15 ml),60,0g,14g,1g,,"0,000g"
Kecap Manis,1 sdm,45,0g,"11,46g","0,19g",331mg,0mg
Kecap Manis,1 sdm (15 ml),60,0g,15g,0g,0mg,"0,00g"
Kecap Manis,1 sdm (14 ml),60,0g,15g,0g,,"15,00g"
