nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Shoops,1 bungkus (70 g),160,9g,18g,2g,160mg,0mg
Cheese Cake,1 pak (55 g),200,7g,25g,3g,,"3,00g"
Keju Kambing (Lembut),100 gram (g),268,"21,08g","0,89g","18,52g","0,89g","4,807g"
Keju Edam,1 paket (200 g),707,"55,04g","2,83g","49,48g","2,83g","16,088g"
Keju Colby,1 iris (28 g),110,"8,99g","0,72g","6,65g","0,15g","2,598g"
Keju Alami,1 iris (28 g),103,"7,87g","0,7g","7,22g","0,18g","2,23g"
Keju Cottage (Rendah Lemak 1% Lemak Susu),1 gelas (tidak dikemas),163,"2,31g","6,15g",28g,"6,15g","0,658g"
Keju Feta,100 gram (g),264,"21,28g","4,09g","14,21g","4,09g","4,623g"
Keju Amerika Rendah Lemak,1 iris (28 g),51,"1,98g","0,99g","6,97g","0,17g","0,568g"
Keju Krim (Bebas Lemak ),100 gram (g),96,"1,36g","5,8g","14,41g","0,4g","0,333g"
Zuperrr Keju Malkist,2 keping (21 g),110,5g,13g,1g,,0mg
Keju Parmesan Parut Kering,1 sdm,22,"1,43g","0,2g","1,92g","0,04g","0,419g"
Keju Mozzarella (tanpa Lemak),100 gram (g),149,0g,"3,5g","31,7g","1,48g",0g
Keju Cottage,100 gram (g),103,"4,51g","2,68g","12,49g","0,29g","1,285g"
Telur Gabus Rasa Keju Cheddar Inggris,1 porsi (22 g),180,10g,9g,1g,,"4,00g"
Keju Parmesan (Diparut),100 gram (g),415,"27,34g","3,41g","37,86g",1696mg,"8,734g"
Keju Swiss,1 iris (28 g),106,"7,78g","1,51g","7,54g","0,37g","2,037g"
Raclette Cheese Flavour,1 porsi (20 g),110,7g,11g,1g,,"11,00g"
Samyang Cheese,1 plate (140 g),550,18g,84g,13g,,"84,00g"
Bakso Keju,4 bakso,160,8g,9g,13g,,
Rin-Bee Cheese Flavor,1 porsi (30 g),140,"4,5g",22g,2g,300mg,0mg
Keju Havarti,1 iris (28 g),105,"8,41g","0,79g","6,59g","0,14g","2,438g"
Makaroni atau Mie dengan Keju (Campuran Kering),1 mangkok,418,"19,21g","49,16g","11,94g","5,27g","8,066g"
Keju Jenis Cheddar atau Amerika,1 iris,86,"6,81g","1,22g","5,02g","1,08g","1,944g"
Keju Swiss (Rendah Lemak),1 iris (28 g),50,"1,43g","0,95g","7,95g","0,37g","0,378g"
"Keju Cheddar atau Amerika (Lemak telah Dikurangi, Dipasteurisasi)",100 gram (g),240,"14,1g","10,6g","17,6g","8,02g","4,13g"
Sobek Keju,1 potong (60 g),200,6g,33g,5g,,"5,00g"
Roti Isi Krim Keju,1 bungkus (60 g),200,7g,31g,3g,,"3,00g"
Keju Amerika dengan Lemak telah Dikurangi,1 iris,82,"4,79g","3,6g","5,98g","2,73g","1,404g"
Keju Cheddar atau Colby Rendah Lemak,1 iris (28 g),49,"1,98g","0,54g","6,9g","0,15g","0,59g"
"Keju Swiss (Rendah Lemak , Dipasteurisasi)",1 iris (21 g),36,"1,07g","0,9g","5,36g","0,28g","0,284g"
Biskuit Keju,"1 kerupuk 2,5 cm persegi",5,"0,25g","0,58g","0,1g",0g,"0,121g"
Keju Biru,100 gram (g),353,"28,74g","2,34g","21,4g","0,5g","7,778g"
Croissant Keju,1 sedang,236,"11,91g","26,79g","5,24g","6,47g","3,71g"
Cheese Sandwich,1 bungkus (28 g),150,8g,18g,2g,115mg,0mg
Cream Cheese Light,1 porsi (50 g),90,7g,1g,5g,,"1,00g"
Natural Cream Cheese,100 g,259,25g,"2,8g","5,1g",,"2,80g"
Keju Cottage (non Lemak ),1 gelas  (tidak dikemas),123,"0,61g","2,68g","25,04g","2,68g","0,16g"
Snack Sereal Keju,2 saji (14 g),80,4g,9g,1g,,"9,00g"
Sagu Keju,1 bungkus (3 buah) (10 g),50,2g,8g,0g,,"8,00g"
Keju Amerika,1 iris (28 g),96,"7,39g","1,97g","5,37g","1,83g","2,115g"
Cheese Stick Rasa Pizza,1 porsi (24 g),70,5g,5g,2g,,"2,00g"
Keju Brie,100 gram (g),334,"27,68g","0,45g","20,75g","0,45g","8,013g"
Zuperrr Keju,1 bungkus (27 g),120,6g,17g,2g,,"7,00g"
Keju Cheddar,1 takaran saji (30 g),110,8g,4g,4g,,"4,00g"
3D Potato Tornado Cheese,1 takaran saji (20 g),100,4g,14g,1g,10mg,0mg
Keju Mozzarella Susu Murni,1 iris (28 g),85,"6,34g","0,62g","6,29g","0,29g","1,863g"
Quickmelt,1 porsi (30 g),100,7g,4g,5g,,"4,00g"
Jenis Keju Proses Amerika atau Cheddar,1 iris (21 g),71,"5,47g","1,46g","3,98g","1,35g","1,567g"
Keju Ricotta (Sebagian Susu Skim),1 mangkok,339,"19,46g","12,64g","28,02g","0,76g","5,692g"
Keju Parmesan Keras,100 gram (g),392,"25,83g","3,22g","35,75g","0,8g","7,515g"
Keju Mozzarella Sebagian Susu Skim,1 batang,85,"5,61g","1,07g","7,27g","0,17g","1,604g"
Keju Monterey Jack,1 iris (28 g),106,"8,58g","0,19g","6,94g","0,14g","2,481g"
Keju Krim Proses tanpa atau Bebas Lemak,1 sdm,15,"0,21g","0,9g","2,25g","0,06g","0,052g"
Roti Isi Coklat Keju,1 bungkus (69 g),230,9g,32g,6g,,"32,00g"
Keju Kambing (Agak Lembut),100 gram (g),364,"29,84g","2,54g","21,58g","2,54g","6,808g"
Keju Muenster,1 iris (28 g),103,"8,41g","0,31g","6,55g","0,31g","2,439g"
Keju Mozzarella (Susu Murni),100 gram (g),300,"22,35g","2,19g","22,17g","1,03g","6,573g"
Keju Campuran Meksiko,"1 mangkok, parut",365,"29,38g","1,88g","23,17g","1,66g","8,384g"
Bisvit Selimut Keju,"1 bungkus (9,5 g)",45,2g,6g,1g,35mg,0mg
Keju Gouda atau Edam,1 iris (28 g),101,"7,85g","0,47g","7,08g","0,47g","2,271g"
Keju Romano,100 gram (g),387,"26,94g","3,63g","31,8g","0,73g","7,838g"
Keju Cottage (Rendah Lemak 2% Lemak Susu),1 gelas  (tidak dikemas),203,"4,36g","8,2g","31,05g","0,75g","1,243g"
Popcorn Rasa Keju,1 mangkok,58,"3,65g","5,68g","1,02g",98mg,"1,067g"
Keju Krim (Rendah Lemak),1 sdm,35,"2,64g","1,05g","1,59g","0,03g","0,745g"
Keju Amerika (Kemasan Dingin),100 gram (g),331,"24,46g","8,32g","19,66g",966mg,"7,165g"
"Keju Amerika (Rendah Lemak, Dipasteurisasi)",1 iris (21 g),38,"1,47g","0,74g","5,17g","0,12g","0,421g"
Keju Monterey,100 gram (g),373,"30,28g","0,68g","24,48g","0,5g","8,751g"
Keju Cottage dengan Buah,1 gelas  (tidak dikemas),219,"8,7g","10,42g","24,16g","5,38g","2,341g"
"Kue Keju (dari Campuran, tanpa Jenis Kue Panggang)",1 buah (diameter 1/12 23 cm),271,"12,57g","35,14g","5,44g",376mg,"4,474g"
Singkong Serut Rasa Keju,1 bungkus (20 g),110,6g,13g,0g,90mg,0mg
Keju Cheddar atau Colby (Rendah Lemak),100 gram (g),173,7g,"1,91g","24,35g","0,52g","2,082g"
Keju Kambing,1 inci kubik,90,"7,21g","0,47g","5,88g","0,47g","1,645g"
Balls Cheese Flavour,1 porsi (14 g),70,"3,5g",9g,1g,,"2,00g"
Puffs Cheddar Cheese,1 porsi (10 g),50,"2,5g",6g,1g,,"6,00g"
Keju Mozzarella (Sebagian Susu Skim),100 gram (g),254,"15,92g","2,77g","24,26g","1,13g","4,51g"
Keju Colby Jack,1 iris (28 g),109,"8,85g","0,46g","6,84g","0,14g","2,556g"
Keju Ricotta (Susu Murni),1 mangkok,428,"31,93g","7,48g","27,7g","0,66g","8,922g"
Pasta Keju,1 stick (8 g),50,3g,4g,0g,,4mg
Pillows Rasa Keju,1 porsi (7 g),35,1g,5g,0g,0mg,0mg
Singles BBQ Chicken,1 lembar (17 g),60,4g,3g,2g,,"3,00g"
Keju Ricotta,100 gram (g),156,"10,44g","4,09g","11,32g","0,29g","2,971g"
Finger Cheese Biskuit,36 keping (25 g),110,"2,5g",18g,3g,,"2,0g"
Baked Cheese Tart,1 tart (45 g),181,10g,19g,4g,,"19,00g"
Keju Parmesan (Keras),100 gram (g),392,"25,83g","3,22g","35,75g","0,8g","7,515g"
"Keju Cheddar atau Amerika (Bebas Lemak, Dipasteurisasi)",1 iris (21 g),31,"0,17g","2,81g","4,72g","2,09g","0,048g"
Keju Muenster (Rendah Lemak),1 iris,77,"4,93g","0,98g","6,92g","0,98g","1,425g"
Keju Provolone,1 iris (28 g),98,"7,45g","0,6g","7,16g","0,16g","2,07g"
