nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Kue Semprong,1 buah,38,"0,11g","9,03g","0,1g",9mg,0mg
Bakpia Kukus Pandan Coklat,1 sajian (50 g),210,11g,25g,3g,,"25,00g"
Lentil Cakes,1 serving (40 g),150,"0,5g",30g,6g,,"2,0g"
Blueberry Layer Cake,1 bungkus (18 g),90,"4,5g",10g,1g,,"10,00g"
Kue Wortel tanpa Lapisan (Gula),1 buah (1/10  20 cm atau diamater 23 cm ),241,"13,48g","28,47g","2,45g",119mg,38mg
Nextar Brownies,4 sajian kemasan (10 g),45,2g,7g,0g,,"0,00g"
Misro,1 buah,115,"1,75g","24,77g","0,51g",67mg,0mg
Chokoreto Cookies,1 buah (25 g),130,6g,16g,1g,,"8,00g"
Gandasturi,100 gram (g),146,"0,26g","36,07g","0,88g",168mg,0mg
Kue Coklat Keju,100 gram (g),389,"24,75g","38,44g","6,6g",300mg,92mg
Kue Pia 100 Rasa Pandan,1 keping (25 g),100,3g,17g,2g,,15mg
Bolu Pisang,100 gram (g),299,"7,27g","56,54g","3,46g",264mg,30mg
Nextar,1 buah (10 g),45,2g,7g,0g,,"2,00g"
Nastar,4 buah (30 g),130,6g,19g,1g,"11,00g","0,000g"
Kuping Gajah,1 porsi (20 g),71,"1,6g","12,94g","1,5g",23mg,1mg
Muffin Vanilla,1 porsi (50 g),180,"0,5g",41g,4g,,"41,00g"
Mini Layer Cake Blueberry,1 porsi (10 g),40,2g,6g,1g,,"3,00g"
Red Velvet Cake,1 potong,293,"13,74g","37,45g","5,45g","13,89g","7,948g"
Gold Cake Double Chocolate,1 porsi (22 g),70,"3,5g",8g,1g,95mg,"1,00g"
Bakpia Kukus Original Cokelat,1 porsi (50 g),200,11g,22g,3g,,"22,00g"
Marshmallow,1 porsi (7 g),30,"0,5g",5g,0g,,"4,00g"
Sumpia Udang Pedas,1 biji (20 g),100,"4,5g",12g,2g,,115mg
Cream Cake Brownis Isi Krim Strawberry,1 porsi (10 g),40,"1,5g",6g,0g,,"2,00g"
Kue Tambang,1 buah,116,"6,03g","13,59g","1,77g",25mg,1mg
Kue Keju dengan Buah,1 buah (diameter 1/12 23 cm),388,"19,1g","46,72g","8,88g",378mg,67mg
Bingka,100 gram (g),272,"10,68g","39,32g","5,2g",80mg,92mg
Kue Keju,1 buah,257,18g,"20,4g","4,4g",72mg,44mg
Kue Kopi,1 buah (1/12 23 cm persegi),189,"5,96g","30,3g","3,51g",251mg,55mg
Carrot Chia Cake,1 porsi,219,22g,40g,"6,5g",,"40,00g"
Wingko Babat,100 gram (g),294,"13,71g","40,57g","3,42g",183mg,91mg
Bolu Karamel,100 gram (g),454,"29,17g","44,8g","4,57g",223mg,36mg
Kuriimu,1 porsi (19 g),70,3g,10g,1g,,"5,00g"
Bika Ambon,1 potong,185,"3,11g","37,34g","2,18g",64mg,45mg
Toast Slices,2 potong (50 g),270,15g,28g,4g,,"6,00g"
Lapis Legit,1 potong,511,"41,39g","31,07g","6,28g",212mg,436mg
Koya Suuk,100 g,460,17g,62g,14g,,24mg
Nopia,100 gram (g),387,"7,75g","74,16g","5,4g",131mg,0mg
Chocolate Coated Wafer,1 porsi (12 g),60,3g,8g,1g,,4mg
Srikaya Ketan,100 gram (g),264,"6,49g","49,07g","2,88g",130mg,0mg
New York Cheesecake,1 porsi (121 g),470,"32,7g","36,3g","7,5g",,
Japanese Cheese Cake,1 porsi (33 g),100,5g,10g,3g,50mg,"3,00g"
Cream Cake Strawberry,1 bungkus (10 g),45,"2,5g",5g,0g,,"2,00g"
Cheese Layer Cake,1 porsi (13 g),50,"2,5g",7g,1g,,"2,00g"
Gold Cake Original Japanese Cake,1 porsi (32 g),90,4g,10g,3g,,"2,0g"
Kue Cubit,1 buah,70,"1,11g","13,01g","1,99g",31mg,20mg
Kue Gambang,1 buah (50 g),195,5g,34g,3g,,
Crunchy Toast,1 porsi (25 g),130,7g,16g,2g,,"2,0g"
Wafer Coklat,1 wafer,26,"0,85g","4,34g","0,4g",35mg,0mg
Almond & Chocolate,1 bar (30 g),160,10g,12g,5g,,"12,00g"
Kue Mendut,1 buah,77,"0,9g","15,98g","1,1g",32mg,0mg
Donat Dilapisi Coklat,1 donat (diameter 5 cm ),133,"8,68g","13,44g","1,4g",120mg,17mg
Kue Wortel dengan Lapisan (Gula),"1 buah (1/10 1-lapis, diameter 20 cm atau 23 cm)",326,"16,7g","42,37g","3,09g",147mg,48mg
Tape Singkong,100 gram (g),175,"0,5g","39,9g","2,27g",7mg,0mg
Lapis Bogor Rasa Cocopandan,1 porsi (50 g),190,11g,19g,3g,,"10,00g"
Kue Beras Merah Multigrain,1 kue,35,"0,32g","7,21g","0,76g",26mg,0mg
Awug,100 gram (g),90,"0,89g","18,17g","1,12g",63mg,0mg
Lemet,1 bungkus,123,"2,33g","25,46g","0,72g",32mg,0mg
Gemblong,1 potong,115,"2,43g","22,48g","1,27g",58mg,0mg
Kue Bawang,100 gram (g),434,"19,18g","60,25g","5,04g",67mg,42mg
Red Velvet Cake,1 porsi (88 g),430,26g,47g,4g,,
Yangko,100 gram (g),256,"1,1g","58,04g","3,08g",151mg,0mg
Cream Cake Vanilla,1 bungkus (9 g),40,2g,5g,0g,,"2,00g"
Carang Gesing,100 gram (g),81,"2,36g","13,44g","2,78g",239mg,74mg
Odading,1 buah,112,"3,63g","16,85g","2,89g",190mg,32mg
Cenil,100 gram (g),127,"2,11g","24,64g","1,39g",30mg,0mg
Brondong Ketan,100 g,380,"1,5g",86g,6g,,"49,00g"
Kue Dongkal,1 potong,77,"0,98g","15,65g","1,09g",56mg,0mg
Fluffy Cream Roll,"1 porsi (78,9 g)",250,15g,24g,5g,,"22,00g"
Klappertaart,1 potong,182,"12,07g","14,58g","5,4g",60mg,114mg
Kue Ali Agrem,100 gram (g),434,"18,61g","65,25g","3,23g",116mg,0mg
Kue Ku,100 gram (g),357,"2,3g","75,79g","6,67g",108mg,0mg
Kue Panada,1 potong,75,"3,22g","9,12g","2,13g","0,1g","1,499g"
Biji Ketapang,100 gram (g),339,"10,77g","53,74g","7,03g",86mg,39mg
Kue Pancong,1 buah,74,"4,43g","8,32g","0,82g",13mg,0mg
Serabi,1 buah,108,"1,8g","21,05g","1,59g",49mg,0mg
Kue Pia 100 Rasa Kacang Hijau,1 keping (25 g),100,3g,17g,2g,,
Chiffon Stroberi,1 buah (51 g),170,6g,23g,4g,,"23,00g"
Tiramisu,100 g,283,"18,2g","24,41g","4,77g",,"4,77g"
Kue Putih (tanpa Campuran),100 gram (g),357,"12,4g","57,2g","5,4g",327mg,2mg
Putri Salju,1 buah,30,2g,"2,46g","0,6g",9mg,6mg
Kue Lapis,1 potong,201,"11,26g","22,89g","2,52g",115mg,0mg
Putu Mayang,1 porsi (50 g),104,"1,33g","21,83g","1,24g",30mg,0mg
Martabak Manis,1 potong,270,"11,31g","37,37g","7,01g",225mg,66mg
Bakpia,1 buah,75,"1,98g","11,92g","2,4g",29mg,6mg
Kue Putih dengan Lapisan (Resep Rumah atau Beli),"1 buah (1/10 1-lapis, diameter 20 cm atau 23 cm)",251,"8,73g","42,56g","1,79g",187mg,1mg
Klepon,1 buah,110,"2,8g","19,75g","1,42g",24mg,0mg
Wajik,1 potong,152,"0,68g","34,22g","1,99g",70mg,0mg
Getuk,1 potong,61,"1,25g","12,49g","0,14g",57mg,0mg
Kue Cucur,1 buah,102,"1,47g","21,58g","1,47g",52mg,0mg
Dadar Gulung,1 potong,139,"6,79g","17,15g","2,82g",40mg,45mg
Kue Sus,1 buah,182,"10,92g","16,48g","4,58g",237mg,91mg
Pastel,1 potong,150,"6,13g","19,63g","3,8g","0,21g","2,879g"
Kue Gula (dengan Margarin),"1 kue (diameter 7,5 cm)",66,"3,28g","8,4g","0,83g",69mg,4mg
Kue Putu Ayu,1 buah,26,"0,91g","3,78g","0,77g",34mg,17mg
Kue yang Dibuat dengan Beras Ketan dan Kacang Kering,1 buah,30,"0,05g","6,02g","1,25g",156mg,0mg
Onde Onde,1 buah,101,"1,83g","19,42g","1,51g",28mg,0mg
Kue Bolu Coklat,1 buah (diameter 1/12 25 cm),196,"3,99g","36,09g","5,44g",122mg,137mg
Tart,1 buah (diameter 1/8 23 cm ),333,"13,63g","49,86g","3,66g",257mg,0mg
Kue Bugis,1 buah,26,"0,65g","5,05g","0,2g",6mg,0mg
Kue Beras,100 gram (g),224,"0,77g","48,69g","4,64g",9mg,0mg
Kue Nastar,1 buah,75,"2,14g","12,66g","1,14g",24mg,0mg
Kue Lumpur,1 buah,148,"8,82g","15,7g","2,69g",79mg,45mg
Kue Talam,1 buah,28,"0,89g","4,93g","0,22g",13mg,0mg
Kue Nagasari,1 buah,154,"2,87g","30,25g","2,09g",91mg,0mg
Kue Pukis,1 buah,117,"4,96g","15,73g","2,75g",44mg,44mg
Kue Mentega atau Gula,1 kecil (diameter 5 cm ),43,"1,94g","5,9g","0,49g",38mg,5mg
Kue Apem,1 potong,85,"2,04g","16,24g","0,75g",45mg,0mg
Kue Coklat (dengan Campuran Coklat),1 buah (kue 1/8 8500 g),235,"10,5g","34,94g","2,62g",128mg,27mg
Kue Bolu,1 buah (kue 1/12 450 g),187,"2,71g","36,35g","4,6g",,107mg
Kue,1 kecil,24,"1,07g","3,45g","0,27g",16mg,0mg
Mug Cake Cokelat,1 porsi (42 g),150,6g,21g,1g,,"21,00g"
Kue Bikang,100 gram (g),188,"2,85g","38,34g","2,13g",239mg,22mg
Gold Cake Choco Cheese Cake,1 porsi (33 g),100,6g,10g,3g,,"3,00g"
Cheese Cake,100 g,321,23g,26g,6g,438mg,55mg
Gold Cake Lemon Cheese Cake,1 porsi (33 g),100,5g,11g,4g,,"11,00g"
Cone Es Krim (Jenis Kue atau Wafer),1 cone,17,"0,28g","3,16g","0,32g",6mg,0mg
Kue Rangi,100 gram (g),469,"42,52g","23,96g","4,17g",231mg,0mg
Kue Gandum,100 gram (g),450,"18,1g","68,7g","6,2g",383mg,0mg
Banana Roll,1 buah,181,"2,15g","39,83g","3,7g",454mg,"3,70g"
Pineapple Danish,1 porsi,124,"5,9g","15,4g","1,8g",,
