nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Mie Instan Rasa Kari Ayam,1 porsi (73 g),300,5g,54g,8g,"4,00g","0,000g"
Gekikara Ramen Rasa Pedas,1 bungkus (109 g),500,18g,72g,11g,,"72,00g"
Ramen Rasa Kari Ala Jepang,1 bungkus (87 g),390,16g,54g,8g,,"3,0g"
UFO,100 g,460,21g,60g,7g,,
Beef Mushroom Ramyun,1 pcs (114 g),480,17g,70g,11g,,"70,00g"
Gekikara Ramen Hot Chicken,1 porsi (80 g),360,14g,52g,7g,,"52,00g"
Rasa Ayam Spesial,1 bungkus (69 g),300,10g,44g,7g,,"2,0g"
Mi Goreng Rasa Sambal Matah,1 porsi (85 g),410,20g,51g,8g,,"51,00g"
Isi 2 Rasa Kari Spesial,1 bungkus (115 g),540,24g,70g,10g,,"70,00g"
Mie Sedaap Tasty,1 bungkus (129 g),590,22g,84g,15g,,"84,00g"
Extra Hot Fried Noodle,1 bungkus (130 g),570,22g,79g,13g,,
Mi Boncabe Rasa Ramen Pedas,1 porsi (35 g),120,"0,5g",25g,4g,,"4,00g"
Soto Banjar Limau Kuit,1 bungkus (75 g),340,14g,45g,7g,,"45,00g"
Real Meat Telur Balado,1 bungkus (110 g),530,27g,58g,14g,,"58,00g"
Udon,1 bowl,474,"15,16g","20,25g","11,51g",,"11,51g"
Bihun Kering,100 gram (g),364,"0,56g","83,24g","3,44g",30mg,0mg
Mie,1 sajian (35 g),130,3g,21g,4g,,"4,00g"
Mie Ubi Ungu,100 g,380,0g,82g,11g,,"7,0g"
Mi Goreng Original,1 serving (75 g),90,"2,5g",18g,0g,,"18,00g"
Veggie Noodle Basil & Garlic,1 porsi (75 g),270,"4,5g",52g,6g,,"7,00g"
Noodle,100 g,20,0g,5g,0g,,"0,00g"
Gekikara Ramen,1 bungkus (120 g),550,23g,72g,13g,,"13,00g"
Maggi Kari,1/2 cangkir (79 g),351,"14,1g","48,7g","7,3g",,
Mikuya Ramen Rasa Kaldu Ayam Ala Jepang,1 bungkus (83 g),380,14g,56g,7g,,"56,00g"
Green Barley Noodle Dry Base,1 bungkus (78 g),310,3g,57g,10g,320mg,"10,00g"
Mie Kering,1 buah (25 g),90,0g,22g,0g,,"0,00g"
Real Meat Ayam Jamur,1 bungkus (110 g),480,24g,55g,12g,,"55,00g"
Mi Goreng Rasa Ayam Panggang Jumbo,1 bungkus (127 g),570,25g,75g,14g,,"75,00g"
Supermi Extra Rasa Soto Daging,100 g,440,15g,65g,9g,,"65,00g"
Tomyam Flavour,1 packet (83 g),385,"17,6g","49,1g","7,4g",,
Rasa Kari Ayam,1 cup (75 g),340,15g,44g,8g,,"44,00g"
Vegan Noodle,1 porsi (85 g),410,19g,53g,8g,,
Ghost Pepper Creamy Curry Lontong,1 porsi (50 g),220,8g,32g,4g,"2,00g","3,500g"
Organic Noodle Spinach,1 porsi (40 g),150,1g,30g,5g,,"2,0g"
Mi Goreng Sambal Matah,1 porsi (85 g),410,20g,51g,8g,880mg,0mg
Sounku,1 serving (60 g),210,0g,52g,0g,,"0,00g"
Kuah Pedes Dower,1 porsi (75 g),340,15g,45g,7g,0mg,"7,00g"
Ayam Bawang,1 serving (63 g),320,9g,56g,3g,,"56,00g"
Bulgogi,1 porsi (90 g),410,14g,62g,7g,,"62,00g"
Neoguri,1 mangkuk (120 g),506,"16,2g","80,9g","9,1g",0mg,"9,10g"
Mie Rasa Soto Lamongan,1 bungkus (80 g),360,14g,48g,10g,,"48,00g"
Mikuya Ramen Rasa Kecap Pedas Ala Jepang,1 bungkus (94 g),430,17g,60g,8g,,"3,0g"
Soto Mie,1 porsi (300 g),370,"13,75g","39,75g","21,05g",495mg,122mg
Mie Sambal Goreng,1 porsi (88 g),410,16g,56g,9g,,"3,0g"
Soto Banjar,1 bungkus (69 g),310,13g,43g,7g,,"43,00g"
Sambal Matah,1 porsi (85 g),410,20g,51g,8g,,"51,00g"
Mi Celor,1 bungkus (75 g),320,11g,49g,6g,,"49,00g"
Curry,1 bungkus (140 g),550,18g,85g,13g,300mg,"13,00g"
Mie Goreng Sedaaap,1 porsi (90 g),410,17g,58g,8g,,"58,00g"
Ayam Bawang Telur,1 bungkus (77 g),370,18g,45g,6g,,"4,0g"
Soto Medan,1 porsi (70 g),310,12g,42g,7g,,"42,00g"
Rasa Baso Sapi,1 bungkus (77 g),360,15g,49g,7g,,"49,00g"
Rasa Semur Ayam Pedas,1 porsi,360,22g,34g,6g,,"34,00g"
Mi Goreng Aceh,1 bungkus (90 g),430,19g,55g,9g,0mg,"9,00g"
Mie Goreng Extra Pedas,1 bungkus (75 g),330,12g,51g,7g,,"51,00g"
Mie Sedaap Cup Goreng,1 cup (85 g),410,19g,53g,7g,,"7,0g"
Ramen Keju,1 porsi (60 g),260,10g,36g,6g,,"6,00g"
Gekikara Ramen Rasa Ayam Pedas,1 porsi (118 g),530,20g,77g,10g,,"77,00g"
Tasty Beef Yakiniku,1 porsi (115 g),530,23g,69g,13g,,"69,00g"
Goreng Pedes Gledek,1 bungkus (75 g),370,18g,45g,6g,,"45,00g"
Tasty Bakmi Ayam Geprek Matah,1 bungkus (124 g),570,21g,81g,14g,,"81,00g"
Mie Sedaap Korean Spicy Soup,1 bungkus (77 g),350,13g,48g,10g,,"48,00g"
Mie Goreng Ayam Pangsit,1 bungkus (110 g),510,21g,70g,10g,,"70,00g"
Korean Spicy Chicken Cup,1 cup (81 g),400,19g,50g,7g,,"50,00g"
Mie Ayam,1 porsi (190 g),360,"16,15g","49,87g","5,9g",,
Makaroni atau Mie dengan Keju,1 mangkok,493,"22,84g","52,15g","19,29g",953mg,41mg
