nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Ultra Mimi Kids Full Cream,1 kotak (125 ml),80,4g,6g,4g,170mg,"4,00g"
Soya Botol,1/2 botol (150 ml),90,"1,5g",15g,3g,,"12,00g"
Gainer Maxx,1 porsi (125 g),458,0g,53g,61g,,"53,00g"
Kunyit Asam,1 botol (150 ml),85,0g,20g,0g,0mg,"0,00g"
Green Sands Lime & Lychee,1 serving (250 ml),90,0g,21g,0g,,"17,00g"
Goodmood Yogurt,100 ml,50,0g,14g,0g,,50mg
Minuman,100 ml,90,0g,22g,0g,50mg,"0,00g"
Vegie Fruit,1 botol  (200 ml),80,0g,19g,0g,,35mg
Milo,1 kemasan (190 ml),120,4g,17g,3g,,"3,00g"
Soda,1 kaleng (350 ml),140,"0,04g","36,05g","0,26g",22mg,0mg
Nutrive Benecol Blackcurrant,100 ml,60,2g,8g,1g,,30mg
Milky Strawberry,1 gelas (180 ml),110,3g,16g,4g,230mg,"4,00g"
Minuman Beras Meksiko (Horchata),1 gelas (240 ml),98,"0,05g","24,86g","0,26g",5mg,0mg
Susu,1 gelas,122,"4,88g","11,49g","8,03g",100mg,17mg
Ching Ku (320ml),1 kaleng (320 ml),110,0g,28g,0g,0mg,"0,00g"
Lychee Tea,1 porsi (14 g),60,0g,14g,0g,,"0,00g"
Soya Milk Sari Kedelai,1 botol (300 g),260,6g,42g,10g,,190mg
Bir,1 kaleng atau botol (350 ml),155,0g,"12,78g","1,66g",14mg,0mg
Flimty Raspberry,1 sachet (15 g),60,0g,11g,0g,,"3,0g"
Green Tea Honey Lemon,1 botol (210 ml),100,0g,24g,0g,,"0,00g"
Choco Top,1 porsi (50 g),179,"5,81g",29g,3g,,
Kiranti Original,100 ml,50,0g,13g,0g,,
Frestea Green,1 botol (250 g),80,0g,20g,0g,,"18,00g"
Ion Water Low Calorie,1 botol (250 ml),35,0g,9g,0g,,"9,00g"
Pulpy Guava,1 botol (300 ml),90,0g,23g,0g,,"22,00g"
