nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Artichoke Hati dalam Minyak,1 hati,33,"2,35g","2,87g","0,89g",24mg,0mg
Kacang Campuran,1 mangkok,876,"79,95g","30,64g","23,44g",562mg,0mg
Minyak Ikan Salmon,1 sdm,123,"13,6g",0g,0g,0mg,66mg
Mayones Biasa,1 sdm,99,"10,79g","0,54g","0,15g",78mg,5mg
Minyak Kelapa,1 porsi (13 ml),120,13g,0g,0g,"0,00g","0,000g"
Fish Tofu,100 g,160,8g,12g,10g,,"12,00g"
Minyak Kelapa,100 ml,900,100g,0g,0g,,15mg
Kacang Sangrai Madu,100 gram (g),561,"45,77g","23,87g","24,47g",279mg,0mg
Bola Kepiting,100 g,170,7g,19g,8g,,"0,00g"
Tuna dalam Minyak Sayur,100 g,150,6g,1g,22g,,
Salad Dressing Minyak dan Cuka (Resep Rumah),1 sdm,72,"8,02g","0,4g",0g,0mg,0mg
Minyak Sunflower,1 porsi (10 g),80,9g,0g,0g,"0,00g","3,500g"
Kacang Campuran Sangrai,1 mangkok,886,"80,88g","32,07g","22,35g",441mg,0mg
Minyak Kanola,1 sdm (14 ml),120,13g,0g,0g,0mg,"8,000g"
Salad Yunani,1 mangkok,106,"7,28g","3,38g","6,99g",410mg,119mg
Kaki Naga,100 g,190,2g,38g,3g,,"0,00g"
Salad Pasta atau Makaroni dengan Dressing Minyak atau Cuka,1 mangkok,250,"10,09g","34,25g","5,82g",1179mg,0mg
Kacang Mete Sangrai Asin,100 gram (g),581,"47,77g","30,16g","16,84g",308mg,0mg
Minyak Hati Ikan Kod,100 gram (g),902,100g,0g,0g,0mg,570mg
Kacang Tanah dengan Kulit (Kulit tidak Dimakan),100 gram (g),599,"52,5g","15,26g","28,03g",320mg,0mg
Kacang Mete,100 gram (g),581,"47,77g","30,16g","16,84g",308mg,0mg
Bola Udang,100 g,160,6g,17g,9g,,"0,00g"
Otak Otak,100 g,130,0g,26g,5g,,"26,00g"
"Margarin (Minyak Nabati, 20% Lemak )",1 sdm,26,"2,92g","0,06g",0g,110mg,0mg
Minyak Wijen,1 sdm (15 ml),130,14g,0g,0g,,
Siomay Ikan,100 g,160,5g,18g,10g,,"0,00g"
Ikan Sarden dalam Minyak (Kalengan),1 ikan sarden,25,"1,37g",0g,"2,95g",61mg,17mg
Bola Lobster,100 g,170,7g,18g,8g,,"0,00g"
Kacang Sangrai Campuran dengan Kacang Tanah,1 10 porsi kacang pilihan,86,"7,89g",3g,"2,35g",59mg,0mg
Scallop,100 g,160,"2,5g",26g,7g,,"0,00g"
Pengganti Krim (Cair),1 gelas,326,"23,93g","27,31g","2,4g",190mg,0mg
Edamame,100 g,120,4g,12g,8g,,"12,00g"
Minyak Wijen,1 sdt,40,"4,5g",0g,0g,0mg,0mg
Minyak Jagung,1 sdm  (12 ml),120,13g,0g,0g,,0mg
Minyak Kelapa,"1 porsi (12,6 ml)",110,13g,0g,0g,"0,00g","0,000g"
Margarin,1 sdm,75,"8,46g",0g,"0,09g",112mg,0mg
Minyak Kanola,1 sdm (12 ml),120,13g,0g,0g,"0,00g","8,000g"
Minyak Zaitun,1 sdm,119,"13,5g",0g,0g,0mg,0mg
Minyak Goreng 2X Penyaringan,1/2 sdt (9 ml),70,8g,0g,0g,,"3,500g"
Minyak Jagung,1 sdm (11 ml),100,10g,0g,0g,"0,00g","0,000g"
Minyak Jagung,1 sdm (10 ml),80,9g,0g,0g,,0mg
Minyak Sayur Canola,1 sdm,124,14g,0g,0g,0mg,0mg
Minyak Nabati,1 sdm,120,"13,6g",0g,0g,0mg,0mg
Minyak Goreng,1 porsi (13 ml),120,13g,0g,0g,,"0,00g"
Minyak Zaitun Ekstra Virgin,1 sdt,40,"4,5g",0g,0g,0mg,0mg
Minyak Wijen,1 sdt,40,"4,5g",0g,0g,0mg,0mg
Minyak Goreng,1 porsi (11 ml),90,10g,0g,0g,,0mg
Minyak Kelapa,1 sdm,117,"13,6g",0g,0g,0mg,0mg
Minyak Goreng,1 sdm (9 ml),70,8g,0g,0g,0mg,"0,00g"
Minyak Goreng,1 sendok makan (10 ml),80,9g,0g,0g,"0,00g","4,000g"
Minyak Goreng Tropical,1/2 sdm (9 ml),70,8g,0g,0g,0mg,0mg
Minyak Goreng,1 sdm (11 ml),90,10g,0g,0g,0mg,"0,00g"
Minyak Goreng Sawit,1 sendok makan (10 ml),80,9g,0g,0g,,"4,000g"
Minyak Goreng,1 sendok makan (10 ml),80,9g,0g,0g,"0,00g","4,000g"
Minyak Goreng,1 sdm (11 ml),90,10g,0g,0g,,0mg
Minyak Bunga Matahari,1 sdm,120,"13,6g",0g,0g,0mg,0mg
"Ikan Teri (Kering Padat dalam Minyak, Kalengan)",5 ikan teri,42,"1,94g",0g,"5,78g",734mg,17mg
Fish Cake,100 g,140,3g,20g,7g,,"20,00g"
Tuna dalam Minyak (Kalengan),100 gram (g),198,"8,21g",0g,"29,13g",354mg,18mg
Kacang Mete Sangrai Tawar,100 gram (g),580,"47,77g","29,87g","16,84g",13mg,0mg
Tuna dalam Minyak Nabati,1 porsi (56 g),130,10g,2g,9g,0mg,"9,00g"
Crab Stick,100 g,150,"2,5g",27g,5g,,"0,00g"
Bola Salmon,100 g,180,7g,22g,7g,,"0,00g"
Campuran Margarin-Mentega (60% Minyak Jagung dan 40% Mentega),1 sdm,102,"11,46g","0,09g","0,12g",127mg,12mg
Kacang Mete Sangrai Madu,1 10 porsi kacang utuh,87,"6,57g",6g,"2,32g",42mg,0mg
