nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Value Set,100 g,670,"30,2g","68,5g","28,2g",,
Nasi Goreng Cina,1 mangkok,299,"11,11g","37,52g","11,23g","1,35g","3,398g"
Rice with Chicken Cheese Buldak,1 porsi (320 g),460,17g,26g,50g,,"4,00g"
Fiesta Ready Meal Rice with Chicken Satay Sauce,1 serving (320 g),470,11g,54g,39g,,620mg
Nasi Uduk Shirataki,1 porsi,323,11g,14g,42g,,
Grilled Dori with Brown Rice,1 porsi,551,"20,98g","41,87g","45,42g",,
Nasi Spanyol,1 mangkok,211,"3,64g","40,68g","4,67g",700mg,0mg
Hoka Hemat 4,1 set,413,"15,3g","47,2g","20,3g",,
Bibimbap,1 porsi (400 g),586,"13,99g","89,78g","22,05g","6,02g","5,633g"
Tape Ketan Hitam,100 gram (g),164,"1,05g","34,78g",3g,8mg,0mg
Sumpia Udang Pedas,1 biji (20 g),100,"4,5g",12g,2g,,115mg
Ketupat,100 gram (g),160,"2,42g","30,36g","3,27g","0,11g","1,369g"
Ready Meal Chicken Popbites Sambal Matah,1 porsi (320 g),600,20g,83g,23g,,"4,00g"
Paket C,1 porsi,625,"24,1g",64g,"35,4g",,
Nasi Ketan (Ketan),1 mangkok,169,"0,33g","36,7g","3,51g",9mg,0mg
Beef & Teriyaki Chicken Combo (Large),1 porsi (800 g),1190,36g,151g,67g,,"67,00g"
Ayam Taliwang with Nyonya Herb Rice + Teri Kacang Balado,1 serving,459,11g,49g,41g,,
Premium Set Beef Yakiniku,1 set,586,"14,7g","58,5g","39,9g",,1400mg
Kacang/Nut,1 porsi (25 g),100,1g,17g,4g,,"5,0g"
Ayam Saus Padang with Nasi Lemak,100 g,464,12g,47g,42g,,
Premium Set Seafood,1 porsi,398,"23,6g","18,7g","26,9g",,
Pepper Chicken Rice,1 porsi,265,3g,40g,30g,"0,00g","0,000g"
Beras Merah,100 g,340,1g,73g,10g,,
Original Beef Bowl with Veggies,1 porsi (468 g),530,14g,77g,21g,,"21,00g"
