nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Oatmeal Rasa Kari Ayam,1 bungkus  (28 g),110,"2,5g",18g,4g,,"4,00g"
Soya Mix,1 sachet (20 g),82,"1,5g","14,4g",3g,,40mg
Vita Quaker,1 porsi (29 g),110,2g,23g,1g,,"1,00g"
Sumpia Udang Pedas,1 biji (20 g),100,"4,5g",12g,2g,,115mg
Oat Krunch Dark Chocolate,1 pak (26 g),120,5g,18g,2g,"4,00g","0,000g"
Fitbar Nuts Delight,1 bar (22 g),90,4g,15g,3g,,"3,00g"
Oatmeal Rasa Soto Ayam,1 bedak wangi (28 g),110,2g,18g,4g,,"4,00g"
Brondong Ketan,100 g,380,"1,5g",86g,6g,,"49,00g"
Gluten Free Oatmeal Apple Pieces and Cinnamon,1 serving (67 g),270,5g,48g,7g,251mg,"7,00g"
Oatmeal Raisin Cookie,1 cookie,390,15g,65g,6g,,"65,00g"
"Apricot, Sultana & Almond Muesli",1 porsi (45 g),200,5g,30g,9g,"3,00g","1,500g"
I Love Monday Double Choco Oatmeal,1 porsi (45 g),201,8g,27g,5g,,
Mealionaire,1 sachet (30 g),100,0g,19g,6g,0mg,"6,00g"
Hilo Teen,1 porsi (45 g),180,"2,5g",33g,6g,,"6,00g"
Chiareal Coconut and Pineapple,1 porsi (43 g),188,"6,5g",28g,"4,1g",,
Quickly Oats Minis Heavenly Choco,1 bungkus (55 g),237,8g,35g,6g,,
Oats With Multi-Grain,1 sajian (30 g),110,"1,5g",22g,3g,"1,00g","0,500g"
Oat Instan,1 porsi (35 g),142,"3,49g",24g,"3,77g",,"24,00g"
"Sereal Oat (tanpa Garam, Dimasak dengan Air, tanpa Tambahan)",1 mangkok,147,"2,34g","25,27g","6,08g",2mg,0mg
Oat 3 in 1 Original,1 bungkus (29 g),110,3g,22g,1g,0mg,"1,00g"
Quick Cook Oatmeal,1 porsi (35 g),140,"3,5g",23g,4g,"0,00g","1,500g"
Steel Cut Oats,1 porsi (30 g),120,3g,21g,3g,"0,00g","1,500g"
Mini Something Muesli,1 porsi (70 g),299,10g,43g,9g,,
Oatmeal Cepat (1 atau 3 Menit),"1 mangkok,masak",145,"2,39g","25,37g","6,06g",278mg,0mg
Oatmeal Muesli,1 porsi (40 g),180,5g,29g,3g,,"11,0g"
Oatmeal,4 sdm (36 g),150,5g,23g,4g,110mg,"4,00g"
Throwback Thursday,1 serving (51 g),200,4g,35g,4g,,
Oatmeal Multigrain,"1 mangkok,masak",147,"1,15g","32,48g","5,01g",166mg,0mg
Happy Wednesday,1 porsi (44 g),211,9g,27g,5g,,
SAHOOR,1 pouch (55 g),237,9g,35g,4g,,
Oatmeal Instan Rasa Pisang & Madu,1 serving (30 g),120,2g,24g,3g,,"3,00g"
Mixy Choco,1 porsi (70 g),337,18g,35g,9g,,
Quickly Oats Minis Choco Nutty,1 porsi (55 g),230,"5,5g",17g,"3,4g",,
Lovely Tuesday,"1 porsi (54,5 g)",243,9g,38g,3g,,
Nasi Goreng Oatmeal,1 porsi (300 g),321,"12,89g","45,09g","9,53g","4,93g","5,389g"
Instant Oatmeal,1 porsi (40 g),160,4g,27g,5g,0mg,"1,500g"
Cereal Drink Coklat,1 porsi (29 g),120,3g,21g,2g,,"2,00g"
3 in 1 Oat Cereal Drink Mocha,1 porsi (28 g),118,"3,1g","20,7g","1,8g","9,10g","1,100g"
Oatmeal,1 porsi (40 g),159,"3,3g",27g,"5,4g",,"4,3g"
Havermix Rolled Oats & Barley Flakes,4 sendok makan (35 g),130,"1,5g",26g,4g,"0,00g","0,000g"
Triple Magic Kukis Rasa Oatmeal,1 (30 g),140,6g,19g,2g,,"10,00g"
Granola Chips Peanut Butter,100 g,271,24g,20g,20g,,"19,0g"
HH MULTIGRAIN,2 sendok takar (25 g),100,1g,19g,3g,,"19,00g"
Havermout Quick Cook Oatmeal,1 porsi (30 g),120,3g,21g,4g,0mg,"1,000g"
Oat Cookies,3 cookies (27 g),119,"3,7g","19,4g",2g,,2mg
Muesli,1 porsi (30 g),110,2g,22g,2g,,"3,0g"
Rolled Oats,1/2 gelas kering (40 g),160,"4,5g",27g,5g,"0,00g","2,000g"
Havermout Oatmeal Instan,4 sendok makan (30 g),120,3g,21g,4g,,"4,00g"
Oatmeal,"1 mangkok,masak",145,"2,39g","25,37g","6,06g",278mg,0mg
Rolled Oats,1 porsi (40 g),160,4g,27g,5g,"1,00g","1,500g"
Oatmeal Rasa Coklat,1 porsi (30 g),120,"2,5g",22g,3g,,"8,00g"
Instant Oatmeal,3 sendok makan (40 g),159,"3,3g",27g,"5,4g","0,00g","1,500g"
Havermout Rolled Oat,1 cangkir (35 g),140,"3,5g",24g,4g,,"4,00g"
Organic Rolled Oats,1 porsi (30 g),120,2g,21g,4g,"0,00g","1,000g"
Oatmeal,100 g,70,2g,12g,2g,,
Quick Cooking Oatmeal,3 sendok makan (35 g),140,3g,24g,4g,"0,00g","1,500g"
Instant Oatmeal,4 sendok makan (35 g),140,"3,5g",24g,5g,"0,00g","1,500g"
Kue Oatmeal,"1 sedang (diameter 6,5 cm)",60,"2,47g","8,94g","0,7g",32mg,0mg
Instant Oatmeal Grain,4 sdm (35 g),150,4g,23g,4g,"0,00g","1,500g"
Instant Oatmeal,100 g,399,"8,2g","67,6g","13,5g","0,00g","3,800g"
Quick Cook Oatmeal,1 porsi (40 g),160,"3,1g","27,2g","5,7g","0,00g","1,500g"
Oatmeal Instan,"1 mangkok,masak",213,"2,81g","42,63g","5,76g",285mg,0mg
3 in 1 Oat Cereal Drink Vanilla,1 bungkus (28 g),110,"2,5g",21g,2g,"7,00g","0,400g"
Chiareal Dates and Honey,1 serving (49 g),203,"5,6g","34,2g","3,9g",,
Oatmeal dengan Buah,"1 mangkok,masak",190,"2,29g","37,81g","6,18g",260mg,0mg
Oatmeal Rolled Oats,3 sendok (30 g),120,3g,21g,4g,"0,00g","1,500g"
Instant Oats,4 sendok makan (35 g),140,3g,26g,3g,,"26,00g"
