nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Mushroom And Chicken Green Spaghetti Primavera,1 porsi,468,12g,50g,40g,,
lunch,1 serving,468,12g,50g,40g,,
Classic Meatloaf With Gravy Sauce And Aglio E Olio Pasta + Caramelized Onion Bread,1 porsi (100 g),456,12g,49g,38g,,
Snapper Capsicum Sauce with Arrabbiata Pasta,1 porsi,460,12g,50g,38g,,
Tomato & Basil,1 serving (125 g),86,5g,7g,2g,,"2,00g"
Couscous,1 porsi (200 g),40,"0,5g",8g,0g,,
Shirataki Noodles Aglio E Olio,1 porsi,166,"6,8g","14,85g","11,82g",,
Spaghetti Shape,1 porsi (200 g),50,0g,12g,0g,0mg,"0,00g"
Italian Chicken Hamburg & Lemonade Fish Picatta with Aglio e Olio Pasta + Garlic Bread,1 serving,464,12g,49g,40g,,
Truffle Mushroom Angel Hair Pasta,1 porsi,468,12g,50g,40g,,
Sup Mi Ayam Sayur,1 porsi (27 g),120,4g,18g,"3,5g",,"3,00g"
Basil Pesto Chicken Pasta,1 serving,374,"7,48g",50g,"26,5g",,
Spaghetti Ai Frutti Di Mare,1 porsi,451,11g,50g,38g,,
Pasta Coklat,1 keping (8 g),45,3g,4g,0g,,"0,00g"
Mexican Chicken with Mac N Cheese + Free Garlic Bread,1 porsi,482,10g,55g,43g,,
Creamy Swiss Chicken with Penne Marinara + Stuffed Mushroom,1 serving,472,12g,51g,40g,,
Penne Rigati No. 18,1 porsi (55 g),200,1g,39g,7g,,"7,00g"
Lasagna dengan Ayam atau Kalkun,"1 buah (1/6 20 cm persegi, kira-kira 6,5 cm x 10 cm)",330,"11,43g","35,43g","20,89g",748mg,52mg
Makaroni atau Mie dengan Keju (Campuran Kering),1 mangkok,418,"19,21g","49,16g","11,94g",697mg,8mg
Pasta Gandum Utuh Kering,100 gram (g),348,"1,4g","75,03g","14,63g",,0mg
Meatball and Pasta with Creamy Mustard Sauce,1 porsi,456,12g,49g,38g,,
Angel Hair,100 g,366,2g,72g,12g,,"3,0g"
La Pasta Mushroom & Herb,1 porsi (112 g),130,"2,4g","21,8g","4,7g",,"3,20g"
Lasagna dengan Daging dan Bayam,"1 buah (1/8 18 cm x 30 cm, kira-kira 9 cm x 10 cm)",353,"12,92g","37,49g","21,88g",786mg,51mg
Makaroni Gandum,"1 mangkok,masak",172,"0,76g","36,93g","7,42g",328mg,0mg
Salad Pasta atau Makaroni dengan Daging,1 mangkok,304,"14,43g","31,75g","11,79g",1301mg,25mg
Lasagna tanpa Daging,"1 buah (1/6 20 cm persegi, kira-kira 6,5 cm x 10 cm)",334,"10,1g","43,54g","17,62g",794mg,34mg
Spageti dengan Saus Tomat dan Bakso,1 mangkok,379,"13,39g","46,18g","17,91g",965mg,57mg
Salad Makaroni atau Pasta dengan Tuna,1 mangkok,335,"16,18g","34,5g","12,51g",874mg,16mg
Spaghetti with Chicken Sauce,1 pack (117 g),410,0g,92g,11g,,720mg
Fettuccine-31,1 porsi (60 g),200,1g,40g,8g,,0mg
Ravioli dengan Saus Tomat,1 mangkok,355,"14,93g","36,67g","18,12g",1010mg,165mg
Long Macaroni - 42,1 porsi (60 g),210,0g,45g,8g,,"3,00g"
Spaghetti,1 porsi (125 g),450,"2,5g","88,7g","15,2g",0mg,"15,20g"
Pasta Segar,100 gram (g),288,"2,3g","54,73g","11,31g",,73mg
Daging Isi Tortelini,1 mangkok,367,"14,54g","32,98g","24,02g",785mg,239mg
Salad Makaroni atau Pasta dengan Ayam,1 mangkok,391,"23,61g","26,55g","17,89g",830mg,51mg
Macaroni & Cheese,1 porsi (115 g),470,13g,69g,18g,,"69,00g"
Spageti dengan Saus Tomat dan Sayuran,1 mangkok,250,"3,92g","45,83g","8,83g",193mg,0mg
Lasagna dengan Daging,"1 buah (1/6 20 cm persegi, kira-kira 6,5 cm x 10 cm)",336,"12,38g","35,43g","20,52g",744mg,49mg
Spaghetti Bolognese,1 porsi (530 g),885,"39,2g","94,3g","39,2g",,
Elbows,100 g,366,2g,72g,"12,5g","2,50g","1,000g"
Maccheroni No. 32,1 porsi (55 g),200,1g,39g,7g,,"7,00g"
Baked Dory Honey Mustard with Mushroom Creamy Fettuccine + Roasted Pineapple,1 porsi,481,13g,51g,40g,,
Salad Pasta atau Makaroni dengan Dressing Minyak atau Cuka,1 mangkok,250,"10,09g","34,25g","5,82g",1179mg,0mg
Penne,100 g,366,2g,72g,12g,,"3,0g"
Cassava Pasta Bolognese,1 porsi (50 g),150,5g,27g,2g,,"27,00g"
Vegeroni Spirals,1 porsi (125 g),442,"2,5g",86g,15g,,"5,0g"
Pasta Tortellini Isi Keju,3/4 mangkok,249,"5,86g","38,07g","10,94g",279mg,34mg
Penne Ziti Rigate-91,1 porsi (60 g),200,1g,40g,8g,,0mg
Brazilian Fish Stew With Garlic Spaghetti,1 porsi,480,12g,55g,38g,,
Ravioli Isi Keju,1 mangkok,285,"10,72g","32,35g","13,58g",1022mg,162mg
Pasta Cokelat,1 porsi (8 g),50,"2,5g",5g,0g,,"5,00g"
Pasta Tomat,1 sdm,13,"0,08g","3,03g","0,69g",16mg,0mg
Pasta Truffle With Chicken,1 porsi,324,"5,59g","68,9g","14,7g",,
Pastamia Makaroni Elbow,100 g,360,"0,5g",78g,11g,,10mg
Makaroni Spiral,1 porsi (60 g),220,1g,47g,7g,,15mg
Fettuccine Shape,1 porsi (200 g),45,0g,11g,0g,,"11,0g"
Cassava Pasta Macaroni & Cheese,1 porsi (115 g),470,13g,69g,18g,,"18,00g"
Gery Pasta,1 bungkus (7 g),40,2g,4g,0g,,"3,00g"
Spaghetti Deluxe,1 porsu (200 g),242,"3,34g","42,5g","10,49g",,"1,12g"
Spicy Barbeque,1 bungkus (57 g),220,4g,39g,7g,,"5,0g"
Veggie Noodle Moringa Leaves,1 porsi (75 g),280,4g,54g,6g,,"6,00g"
Salad Makaroni atau Pasta,1 mangkok,358,"18,82g","40,67g","6,66g",924mg,9mg
Elbow Macaroni,1 porsi (60 g),210,0g,45g,8g,0mg,"8,00g"
Star Shaped Pasta,1 porsi (40 g),145,1g,30g,4g,"0,00g","0,000g"
Cheddar BBQ Chicken Breast with Pomodoro Pasta + Garlic Bread,1 portion,490,14g,48g,43g,,
Spiral Macaroni - 210,1 porsi (60 g),220,0g,45g,8g,,"8,00g"
Cassava Pasta Fusilli Singkong,100 g,370,"2,5g",84g,2g,"1,00g","0,000g"
Meatless Bolognese Pasta,1 porsi,560,14g,98g,12g,,
Makanan Pembuka Makaroni dan Keju (Kalengan),1 porsi,200,6g,"28,11g","8,25g",1027mg,15mg
Saus Pasta Spageti/Marinara,1 mangkok,185,"5,95g","28,18g","4,88g",1202mg,0mg
Pastamia Spaghetti,100 g,360,"1,5g",75g,13g,"0,00g","0,000g"
Pasta Keju,1 stick (8 g),50,3g,4g,0g,,"0,00g"
Keju Isi Tortelini,1 mangkok,354,"8,34g","54,22g","15,57g",198mg,48mg
Tuna Melt,1 potong (90 g),250,12g,26g,11g,,"26,00g"
Cocciolini-207,1 porsi (60 g),200,1g,40g,8g,,
Keju Isi Kerang dengan Saus Daging,1 kulit (jumbo/besar),138,"5,93g","13,01g","7,96g",246mg,51mg
Chicken Flavour Bolognese,1 porsi (75 g),120,2g,22g,2g,,"22,00g"
Creamy Truffle Mushroom Chicken with Garlic Pasta + Crispy Cauliflower,1 porsi,472,12g,51g,40g,,
Chifferi Rigati-206,1 porsi (60 g),200,1g,40g,8g,,"8,00g"
Swedish Meatball and Maccaroni + Garlic Bruchetta,1 serving,450,10g,50g,40g,,
Couscous,100 g,366,2g,72g,12g,,"4,0g"
Pasta Kacang Almond,100 gram (g),458,"27,74g","47,81g",9g,9mg,0mg
Pasta Mac & Cheese,1 porsi (35 g),130,2g,23g,5g,,"23,00g"
Salad Makaroni atau Pasta dengan Keju,1 mangkok,359,"19,51g","36,76g","10,21g",428mg,21mg
Ravioli Isi Daging,1 mangkok,306,"11,89g","27,78g","20,13g",1243mg,163mg
Lasagna tanpa Daging dengan Sayuran,"1 buah (1/8 18 cm x 30 cm, kira-kira 9 cm x 10 cm)",330,"9,78g","44,03g","17,61g",776mg,33mg
Spageti dengan Saus Tomat dan Ayam atau Kalkun,1 mangkok,310,"5,58g","49,43g","14,41g",536mg,17mg
Makaroni atau Mie dengan Keju (Campuran Ditumbuk dengan Saus Keju),1 mangkok,386,"11,59g","54,29g","15,28g",786mg,26mg
Royale Hot & Spicy Sauce,1 porsi (90 g),340,8g,58g,10g,,"8,0g"
Mie Spageti Gandum dengan Saus Daging,1 mangkok,350,"13,04g","42,26g","17,46g",965mg,57mg
Spinach Fettuccine,1 porsi (125 g),457,"2,5g",89g,15g,,"4,00g"
Makaroni atau Mie dengan Keju,1 mangkok,493,"22,84g","52,15g","19,29g",953mg,41mg
Fusillini,1 porsi (125 g),456,"2,5g",90g,15g,,"3,8g"
Cheese Bolognese,1 porsi (59 g),230,5g,39g,7g,,"11,00g"
Creamy Chicken Marsala with Fettuccine Carbonara,1 porsi,481,13g,51g,40g,,
Cheese Fusili,1 porsi,479,23g,25g,41g,,
Spaghetti,1 porsi (125 g),456,"2,5g",90g,15g,,"4,0g"
Spageti Gandum,100 gram (g),123,"0,54g","26,38g","5,3g",234mg,0mg
Makaroni Krim dengan Keju,1 porsi (150 g),312,"12,88g","36,14g","12,19g",251mg,24mg
Creamy Blackpepper Pasta,1 porsi,468,12g,50g,40g,,
Pasta tanpa Daging dengan Saus Tomat,1 mangkok,206,"1,17g","41,56g","7,56g",412mg,0mg
Pasta dengan Saus Daging,1 mangkok,329,"13,06g","33,33g","20,22g",1887mg,51mg
Pasta Segar (Dimasak),100 gram (g),131,"1,05g","24,93g","5,15g",,33mg
Fusilli-202,1 porsi (60 g),200,1g,40g,8g,,0mg
Makaroni,"1 mangkok,masak",220,"1,29g","42,95g","8,06g",325mg,0mg
Fettuccine-30,1 porsi (60 g),210,0g,45g,8g,0mg,"8,00g"
Pasta dengan Keju dan Saus Daging,1 mangkok,361,"16,99g","31,41g","19,75g",1421mg,157mg
Spageti,"1 mangkok,masak",220,"1,29g","42,95g","8,06g",325mg,0mg
Pasta dengan Sayuran,1 mangkok,310,"3,67g","57,71g","11,18g",598mg,0mg
Keju Isi Tortelini dengan Saus Asam,1 mangkok,390,"18,55g","38,9g","16,15g",1442mg,163mg
Salmon Pasta,1 portion,488,"11,8g","33,9g","17,1g",,
Spageti tanpa Daging dengan Saus Tomat,1 mangkok,293,"3,99g","53,62g","9,87g",563mg,0mg
Marinated Chicken Bolognese Pasta,1 porsi,385,"8,8g",40g,"29,12g",,
Creamy Truffle Mushroom Chicken with Garlic Pasta,100 g,472,12g,51g,40g,,
Baked Dory Honey Mustard with Mushroom Creamy Fettucine,1 serving (110 g),481,13g,51g,40g,,
Wholemeal Spaghetti,1 porsi (125 g),452,"4,9g","77,6g","18,8g","3,60g","1,000g"
Spaghetti Gandum Utuh (Dimasak),1 mangkok,174,"0,76g","37,16g","7,46g",4mg,0mg
Spaghetti Kering,100 gram (g),371,"1,51g","74,67g","13,04g",5mg,0mg
