nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Pretz Rasa Pizza,1 bungkus (31 g),150,6g,21g,2g,,240mg
Pizza dengan Daging dan Buah,1 buah (diameter 1/8 30 cm ),248,"8,96g","31,06g","10,74g",627mg,16mg
Pretz Jagung Manis,1 porsi (31 g),150,7g,21g,3g,,100mg
Calzone dengan Daging dan Keju,1 calzone atau Stromboli,1476,"76,83g","131,02g","61,99g",1726mg,187mg
Pocky Colourful,1 takaran saji (36 g),180,8g,25g,2g,,30mg
Bruschetta,1 buah,305,"27,42g","15,15g","2,32g",,
"Pizza Pepperoni (36 cm, Kerak Keras)",1 iris,301,"13,24g","32,22g","13,18g",654mg,30mg
Cheesy Pizza Flavor,1 serving (18 g),100,6g,10g,"1,5g",,
"Pizza Pepperoni (Beku, Dimasak)",1 porsi,432,"22,19g","41,62g","16,37g",289mg,22mg
Pizza Keju dengan Sayuran Kerak Tipis,1 buah (diameter 1/8 30 cm ),202,"8,11g","23,99g","8,59g",502mg,11mg
Salad Bar,1 porsi (300 g),400,4g,30g,5g,,
Pizza Putih,1 buah,274,"9,69g","34,66g","11,14g",511mg,21mg
Spaghetti Bolognese,1 porsi (530 g),885,"39,2g","94,3g","39,2g",,
Garlic Bread,1 potong (65 g),54,0g,8g,1g,,
Creamy Seafood Pizza,1 serving,418,10g,54g,27g,,
Cheese Breadstick,1 stick (56 g),170,6g,20g,8g,"2,00g","0,000g"
Pizza Kerak Tipis dengan Daging dan Sayuran,1 kecil (diameter 20 cm),847,"42,02g","80,75g","36,33g",2134mg,76mg
Pizza Sauce,1 porsi (20 g),15,0g,3g,0g,,"3,00g"
Pizza Keju Kerak Tebal,1 buah (diameter 1/8 30 cm ),256,"10,02g","30,07g","11,47g",511mg,21mg
Pizza Daging dan Sayuran (36 cm),1 iris,332,"14,82g","34,52g","14,99g",801mg,37mg
Pizza Keju dengan Sayuran,1 buah (diameter 1/8 30 cm ),242,"8,95g","30,93g","9,33g",546mg,10mg
Meat Lovers (Large Slice),1 large slice (175 g),470,28g,36g,19g,,"1,00g"
Pizza Keju (36 cm),1 iris,272,"9,8g","33,56g","12,27g",551mg,22mg
Pizza Fit,1 slice (80 g),96,4g,5g,10g,,
Pizza Keju Kerak Tipis,1 buah (diameter 1/8 30 cm ),208,"9,27g","21,79g","9,25g",397mg,18mg
"Pizza Keju (36 cm, Kerak Tebal)",1 iris,288,"11,65g","33,21g","12,72g",565mg,25mg
Pizza Kerak Tipis dengan Daging,1 buah (diameter 1/8 30 cm ),223,"11,16g","20,56g","9,72g",555mg,21mg
Pizza dengan Daging dan Sayuran,1 buah (diameter 1/8 30 cm ),276,"12,61g","29,61g","10,97g",646mg,22mg
Pizza Pepperoni (36 cm),1 iris,298,"12,13g","33,98g","13,32g",683mg,29mg
Tuna Melt,1 potong (90 g),250,12g,26g,11g,,"26,00g"
Deluxe Cheese,1 porsi (65 g),150,6g,17g,6g,,"2,00g"
Pizza dengan Daging,1 buah (diameter 1/8 30 cm ),265,"12,14g","27,68g","10,64g",610mg,21mg
Pizza Keju,1 buah (diameter 1/8 30 cm ),237,"10,1g","26,08g","10,6g",462mg,21mg
Super Supreme,1 potong (77 g),170,9g,17g,7g,,"2,00g"
"Pizza Keju (36 cm, Kerak Tipis)",1 iris,192,"9,88g","16,72g","8,93g",366mg,22mg
Meat Lovers,1 potong personal (81 g),210,12g,17g,8g,,"2,00g"
Pan Pizza Meat Lovers,1 potong (128 g),360,21g,29g,14g,,"29,00g"
