nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Roti Gandum Kupas,1 porsi (96 g),250,4g,46g,8g,,"5,00g"
Peanut Butter Panini,1 porsi,426,"18,7g","60,1g",17g,560mg,"17,00g"
Roti Sandwich Isi Spicy Crab Mayo,1 bungkus (52 g),110,"2,5g",19g,3g,,"3,0g"
Sandwich Pandan Sarikaya,1 bungkus (40 g),110,"2,5g",19g,3g,,"19,00g"
Sandwich Gandum Tuna Mayo,1 bungkus (40 g),110,2g,20g,3g,,"3,00g"
Chiffon Cokelat,1 bungkus (51 g),180,8g,23g,4g,,"23,00g"
Roti Manis Pandan Srikaya,1 bungkus (60 g),190,4g,33g,4g,,"33,00g"
Sandwich Margarin Manis,1 porsi (40 g),150,8g,17g,2g,,"17,00g"
Myroti Roti Isi Krim Susu,1 porsi (58 g),170,4g,29g,4g,,"29,00g"
Bagelen Cheese,"1 porsi (19,5 g)",100,5g,12g,2g,,"1,0g"
Roti Burger,1 porsi (50 g),150,4g,25g,5g,,"25,00g"
Sandwich Gandum Cokelat Hazelnut,1 bungkus (40 g),130,5g,18g,3g,,"2,0g"
Roti Tawar,100 g,290,6g,49g,9g,,"49,00g"
Kentang Roti Panggang,1 irisan reguler,91,"1,12g","17,24g","2,6g",232mg,0mg
Roti Sandwich Rasa Pandan Isi Sarikaya,1 porsi (49 g),130,3g,23g,3g,0mg,"3,00g"
Roti Gandum Isi Krim Rasa Sapi Panggang,1 bungkus (50 g),180,9g,23g,4g,,"3,0g"
Dorayaki Custard Coklat,1 porsi (55 g),170,"3,5g",32g,4g,,"32,00g"
Klasik Pan Pandan,1 takaran saji (40 g),110,"0,5g",23g,4g,"4,00g","0,000g"
Roti Pandan Isi Kelapa Gula Aren,1 porsi (58 g),170,"3,5g",30g,4g,,"30,00g"
Roti Pandan Isi Kelapa Gula Aren,1 roti (58 g),170,"3,5g",30g,4g,,"30,00g"
Selai Srikaya,1 serving (15 g),38,"0,99g","7,17g","0,49g",,"7,17g"
Krim Moka,1 roti (66 g),200,7g,30g,5g,,"1,0g"
Roti Panggang Rasa Coklat,1 porsi (38 g),140,5g,21g,3g,,"3,0g"
Roti Panggang Blueberry,porsi (65 g),220,5g,36g,6g,,"8,00g"
Sandwich Cokelat,1 bungkus (49 g),150,6g,21g,3g,,"3,00g"
Roti Gandum (Termasuk Gandum Beri),1 iris,65,"1,02g","11,8g","2,28g",132mg,0mg
Roti Tawar Pandan Kupas,2 lembar (44 g),150,"2,5g",26g,5g,0mg,"5,00g"
Roti Tawar,2 lembar (95 g),230,3g,44g,7g,,"7,00g"
Roti Bluder Isi Rendang,1 bungkus (60 g),190,7g,26g,6g,,"6,00g"
Sandwich Melted Cheese,1 porsi (50 g),160,7g,21g,3g,,"21,00g"
Roti Sandwich Funwari Cokelat Pisang,1 porsi (91 g),260,8g,41g,6g,,"41,00g"
Roti Sandwich Cokelat Kacang,1 bungkus (96 g),290,9g,45g,7g,,"45,00g"
Roti Tawar Gandum,1 lembar (70 g),105,4g,36g,7g,,260mg
Toast Slices,2 potong (50 g),270,15g,28g,4g,,"6,00g"
Roti Gandum,1 lembar (80 g),130,0g,28g,4g,"2,00g","0,000g"
Roti Panggang Rasa Durian,1 sajian (65 g),240,10g,34g,5g,"10,00g","0,000g"
Roti Asam Adonan Panggang,1 irisan sedang,69,"0,76g","12,97g","2,21g",152mg,0mg
Croiss with Cocoa Cream,1 takaran saji (15 g),60,3g,8g,1g,,
Roti Stik Abon Ayam,1 porsi (70 g),240,8g,37g,7g,,250mg
Sobek Keju,1 potong (60 g),200,6g,33g,5g,,"33,00g"
Lapis Bamkuhen,1 bungkus (45 g),220,14g,21g,3g,0mg,"3,00g"
Focaccia,100 gram (g),292,"11,11g","40,64g","6,89g",267mg,28mg
Cream Meses Jumbo,1 buah (60 g),240,9g,34g,4g,,"16,0g"
Roti Isi Krim Moka,1 potong (50 g),180,7g,24g,5g,,"5,00g"
Roti Sobek Coklat Srikaya,1 potong (107 g),330,9g,56g,7g,,"56,00g"
Roti Manis Cokelat Karamel,1 potong (90 g),330,12g,48g,7g,0mg,"7,00g"
Roti Panggang Rasa Susu Vanila,1 porsi (38 g),140,6g,20g,3g,0mg,"3,00g"
Roti Sandwich,1 buah (45 g),130,"1,5g",25g,4g,,280mg
Bungeoppang,1 buah,110,"2,45g","19,92g","2,14g",70mg,13mg
Ciabatta,100 gram (g),271,"3,5g",50g,"8,8g",584mg,0mg
Roti Tawar Gandum (2),1 lembar (70 g),180,"3,5g",31g,6g,,"31,00g"
Chiffon Pandan,1 bungkus (51 g),190,9g,22g,4g,,"22,00g"
Roti Sobek Coklat Keju,1 potong (107 g),350,12g,51g,9g,,"9,00g"
Roti Panggang Pita,1 kecil (diameter 10 cm),79,"0,34g","15,91g","2,6g",153mg,0mg
Roti Kasur Coklat Keju,2 potong (90 g),320,12g,45g,7g,,"45,00g"
Roti Isi Keju,1 porsi (58 g),160,4g,28g,4g,,"28,00g"
Roti Isi Krim Meses,1 porsi (40 g),170,6g,21g,3g,,"7,00g"
Odading,1 buah,112,"3,63g","16,85g","2,89g",190mg,32mg
Roti Tawar Double Soft,1 lembar (45 g),120,"1,5g",23g,4g,,"23,00g"
Roti Sobek Isi Coklat Nanas,1 potong (113 g),350,8g,60g,9g,,"60,00g"
Roti Kasur Susu,1 potong (54 g),170,4g,29g,5g,,"29,00g"
Roti Jagung (Resep Rumah),1 buah,183,"6,12g","27,47g","4,39g",317mg,26mg
Roti Panggang Coklat,1 bungkus (65 g),220,5g,37g,5g,,"9,00g"
Roti Ogura (Kacang Merah),1 bungkus (67 g),190,2g,37g,6g,,"6,00g"
Roti Manis Kasur Kombinasi,1 takaran saji (90 g),300,8g,48g,8g,,"48,00g"
Plain Rolls,1 bun (50 g),150,"3,5g",27g,5g,,"3,0g"
Roti Sobek Coklat Blueberry,1 potong (113 g),370,9g,62g,8g,,"62,00g"
Garlic Bread,1 potong (65 g),54,0g,8g,1g,,
Roti Baguette,1 irisan sedang,175,"1,92g","33,22g","5,63g",390mg,0mg
Roti Manis Coklat Spesial,1 porsi (60 g),179,"3,5g",32g,"5,5g",,"32,00g"
Roti Baso,1 bread,167,3g,25g,20g,,300mg
Roti Isi Krim Vanilla,1 porsi (50 g),190,8g,24g,4g,,"7,00g"
Roti Sandwich Isi Keju,1 porsi (42 g),110,"1,5g",20g,3g,,"20,00g"
Roti Panggang,1 porsi (38 g),140,6g,20g,3g,,"3,00g"
Roti Goreng,100 gram (g),320,"11,36g","47,69g","7,18g",541mg,0mg
Roti Tawar Kupas,2 lembar (40 g),100,"1,5g",18g,4g,,"18,00g"
Roti Sandwich Isi Tuna Mayo Spicy,1 bungkus (52 g),110,"2,5g",17g,4g,,"0,00g"
Boti Isi Margarin Meses,1 bungkus (42 g),150,6g,21g,3g,0mg,"3,00g"
Roti Sandwich Isi Krim Kacang,1 sandwich (42 g),130,"4,5g",18g,4g,,"18,00g"
Sari Roti Sandwich Kacang,1 bungkus (49 g),170,7g,21g,6g,,"21,00g"
Roti Isi Selai Cokelat,1 bungkus (36 g),130,4g,21g,3g,,"8,00g"
Roti Isi Pisang Coklat,1 bungkus (90 g),240,7g,41g,5g,,"41,00g"
Roti Isi Chicken Teriyaki,1 buah (72 g),200,5g,34g,7g,,"34,00g"
Roti Isi Krim Susu,1 porsi (58 g),170,4g,29g,4g,,"29,00g"
Roti Isi Krim Cokelat Messes,1 porsi (60 g),200,6g,31g,6g,,"31,00g"
Roti Isi Coklat,1 porsi (58 g),180,5g,29g,5g,,"29,00g"
Mexican Bun,1 bun (40 g),424,"23,9g","55,6g","7,2g",316mg,108mg
Sausage Bun,1 bun (50 g),184,5g,20g,8g,,
Roti Manis Kasur,1 potong (80 g),260,7g,44g,7g,,"44,00g"
Roti Sisir Mentega,1 potong (55 g),190,9g,25g,4g,,"25,00g"
Roti Panggang Putih,1 iris,64,"0,88g","11,97g","1,98g",130mg,0mg
Roti Isi Krim Mocca,1 porsi (60 g),200,7g,30g,5g,,"1,0g"
Roti Gandum,1 irisan reguler,67,"1,07g","12,26g","2,37g",138mg,0mg
Roti Mini Isi Krim Keju,1 porsi (40 g),140,6g,17g,3g,,"17,00g"
Roti Abon Ayam Mayo Pedas,1 porsi (60 g),200,7g,28g,6g,,"28,00g"
Roti Isi Srikaya,1 potong (58 g),180,"4,5g",31g,4g,,"31,00g"
Roti Sandwich Isi Coklat,1 porsi (42 g),120,"3,5g",19g,3g,"6,00g","0,000g"
Roti Isi Selai Stroberi,1 porsi (72 g),210,3g,43g,4g,,"43,00g"
Roti Keju,1 iris,71,"1,24g","12,52g","2,21g",176mg,1mg
Roti Isi Cokelat,100 g,220,8g,32g,4g,,"32,00g"
Roti Sobek Coklat,2 potong (107 g),370,13g,56g,7g,,"56,00g"
Roti Isi Krim Coklat (50g),1 bungkus (50 g),180,8g,24g,4g,,"4,0g"
Roti Isi Keju,1 bungkus (65 g),200,7g,30g,6g,,"30,00g"
Roti Panggang,1 irisan reguler,70,"0,96g","13,06g","2,16g",142mg,0mg
Roti Isi Krim Coklat,1 buah (60 g),210,7g,32g,4g,,"32,00g"
"Roti Isi (Campur Kering, Komersial)",100 gram (g),178,"8,6g","21,7g","3,2g",543mg,0mg
Roti Putih,1 iris,66,"0,82g","12,65g","1,91g",170mg,0mg
Roti Isi Coklat,100 g,280,10g,40g,5g,,"40,00g"
Roti Tawar (2),2 lembar (74 g),200,"3,5g",36g,7g,"2,00g","0,000g"
Roti,1 sedang (18 cm),106,"0,52g","22,32g","3,84g",195mg,0mg
Roti Martabak,100 gram (g),247,"8,65g","29,91g","11,74g",187mg,85mg
Roti Sandwich Funwari Coklat Stroberi,1 pack  (91 g),240,5g,43g,5g,,"43,00g"
Roti Sandwich Funwari Mangga Cheesecake,1 bungkus (91 g),250,7g,42g,6g,0mg,"6,00g"
