nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Daging dan Kulit Burung Dara,1 unit (hasil dari 450 g - burung dara siap dimasak),873,"70,69g",0g,"54,86g",160mg,"28,868g"
Daging Kalkun,100 gram (g),119,"2,86g",0g,"21,77g",0g,"0,61g"
Daging Bebek,100 gram (g),132,"5,95g",0g,"18,28g",0g,"1,54g"
"Kornet Punggung Sapi (Diawetkan, Dimasak)",1 buah (kecuali bagian yang tidak berguna) dari (hasil dari 450 g daging mentah dengan bagian yang tidak berguna),803,"60,74g","1,5g","58,14g",0g,"29,504g"
Nasi Goreng tanpa Daging,1 mangkok,251,"9,1g","34,81g","7,02g","1,86g","2,681g"
Daging Menjangan/Rusa Panggang,100 gram (g),190,"3,93g",0g,"36,08g",0g,"0,78g"
Daging Menjangan/Rusa,100 gram (g),190,"3,93g",0g,"36,08g",0g,"0,779g"
Daging Babi Segar,"1 irisan sedang (sekitar 11 cm x 6,5 cm x 0,6 cm)",114,"7,37g",0g,"11,22g",0g,"3,296g"
Semur Daging,100 gram (g),141,8g,"4,34g","12,7g","0,7g","0,553g"
Soto Daging,1 mangkok,219,"11,51g","10,77g","18,25g","1,02g","5,22g"
"Daging Babi (Pinggang Bagian Atas, tanpa Tulang, Daging Saja)",100 gram (g),117,"2,3g",0g,"22,42g",0g,"0,317g"
Daging Kornet,"1 irisan tipis (sekitar 11 cm x 6,5 cm x 0,3 cm)",53,"3,99g","0,1g","3,82g",0g,"1,936g"
Kentang Putih (Daging dan Kulit),"1 besar (diameter 7,5 cm - 10,5 cm)",258,"0,37g","57,97g","6,2g","4,24g","0,007g"
Daging Dada dan Kulit Kalkun,100 gram (g),157,"7,02g",0g,"21,89g",59mg,"2,66g"
"Daging Kalkun (Dimasak, Dipanggang)","1 cangkir, dicincang atau dipotong dadu",238,"6,96g",0g,"41,05g",0g,"1,442g"
Daging Burung Puyuh,1 unit (hasil dari 450 g burung puyuh siap dimasak),458,"15,49g",0g,"74,42g",174mg,"4,378g"
Paru Sapi Goreng,100 gram (g),484,"36,5g","0,62g","39,61g","0,32g","21,271g"
Daging Babi Cincang,1 iris,50,"2,88g","1,18g","4,62g",0g,"1,371g"
Daging Burung Onta Giling,100 gram (g),165,"8,7g",0g,"20,22g",0g,"2,654g"
Daging Kuda,100 gram (g),133,"4,6g",0g,"21,39g",53mg,"1,61g"
"Irisan Daging Babi (Biasa, Kira-Kira 11% Lemak)",100 gram (g),163,"8,6g","3,83g","16,6g",0g,"4,354g"
Babat Sapi,100 gram (g),94,"4,05g","1,99g","11,71g",0g,"0,208g"
Lidah Sapi,100 gram (g),224,"16,09g","3,68g","14,9g",69mg,"7,24g"
Kaldu Sapi,1 gelas (240 ml),7,"0,19g","0,8g","0,84g","0,63g","0,072g"
Limpa Sapi,100 gram (g),105,3g,0g,"18,3g",85mg,"0,78g"
