nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Mentega Wijen (Tahini) (Terbuat Biji-Bijian),1 sdm,89,"8,06g","3,18g","2,55g",17mg,0mg
Sambal Fried Chicken,1 bungkus (8 g),0,0g,1g,0g,,"0,00g"
Sauce For Ma Po Tofu,1 porsi (20 g),30,"1,5g",3g,1g,,
Saus Sosis,1 mangkok,374,"26,47g","16,87g","16,68g",509mg,55mg
Sambal Rawit,1 porsi (20 g),25,"1,5g",3g,1g,,"3,00g"
Minyak Wijen,1 sdm (15 ml),130,14g,0g,0g,,
Saus Tiram,1 sendok makan (20 g),9,"0,04g","1,97g","0,24g",,
Salsa (Siap Saji),2 sdm,9,"0,05g","2,07g","0,51g",198mg,0mg
Mayones Bebas Lemak,1 sdm,13,"0,43g","2,48g","0,03g",126mg,1mg
Minyak Zaitun,1 sdm,119,"13,5g",0g,0g,0mg,0mg
Bubuk Kari,1 sdt,6,"0,28g","1,16g","0,25g",1mg,0mg
BBQ Sauce,1 porsi (15 g),25,0g,6g,0g,,340mg
Saus Kedelai dengan Sodium yang Dikurangi,1 sdm,8,"0,01g","1,36g","0,83g",533mg,0mg
Soy Sauce,15ml (15 g),10,0g,1g,1g,,860mg
Kecap Asin (Kedelai),1 sdm,8,"0,01g","1,22g",1g,902mg,0mg
Saus Lada Hitam,1 porsi (50 g),25,0g,6g,0g,,"0,00g"
Saus Teriyaki Lada Hitam,1 takar saji (15 g),25,0g,6g,0g,,260mg
Saus Tomat,1 sajian (12 g),20,0g,5g,0g,,"4,00g"
Gochujang,1 sdm (15 g),15,0g,4g,0g,,"2,00g"
Mexican Gourmet Chili,1 porsi (8 g),15,0g,3g,0g,,"0,00g"
Sambal dari Buah-buahan,1 sdm,25,"0,05g","6,26g","0,23g",41mg,0mg
Saus Teriyaki,100 ml,182,0g,"36,4g",0g,,11284mg
Petis,100 gram (g),127,"2,3g","1,94g","23,78g",4212mg,121mg
Tempoyak,100 gram (g),140,"5,33g","23,28g","2,92g",194mg,0mg
Saus Keju,1/4 mangkok,110,"8,37g","4,3g","4,23g",522mg,18mg
Saus Teriyaki,"1 porsi (5,5 ml)",10,0g,2g,0g,"2,00g","0,000g"
Spaghetti Konnyaku Saus Carbonara,1 porsi (78 ml),120,"1,5g",27g,1g,,"27,00g"
Kuah/Kaldu Daging Sapi (Kalengan),1 mangkok,123,"5,5g","11,21g","8,74g",1305mg,7mg
Kuah/Kaldu Ayam (Kalengan),1 gelas,188,"13,59g","12,9g","4,59g",1373mg,5mg
Bolognese Sauce,1 porsi (75 g),120,"3,5g",20g,2g,,"20,00g"
Saus Apel tanpa Pemanis,1 snack ukuran (112 g),49,"0,06g","12,76g","0,19g",2mg,0mg
Tasty Dressing Mentaiko,1 porsi (15 g),68,7g,1g,0g,,225mg
Tomato Paste,2 sdm (33 g),30,0g,6g,1g,,"1,00g"
Sambal Terasi Uleg,1 sendok (23 g),50,3g,6g,1g,,"3,00g"
Saus Pasta Spageti/Marinara,1 mangkok,185,"5,95g","28,18g","4,88g",1202mg,0mg
Tomato Ketchup,1 porsi (8 g),10,0g,2g,0g,,"0,0g"
Saus Ponzu,1 porsi (15 ml),15,0g,4g,1g,"3,00g","0,000g"
Saus Manis Masak Khas Jepang,1 porsi (15 ml),50,0g,12g,0g,,"5,00g"
Saus Lada atau Pedas,1 sdt,1,"0,02g","0,08g","0,02g",124mg,0mg
Saus Lemon,1 porsi (15 g),17,0g,4g,0g,,"0,00g"
Saus Tomat,1 sendok (17 g),20,0g,5g,0g,150mg,"0,000g"
Premium Oyster Sauce,1 sdm (18 g),25,0g,5g,1g,,"1,00g"
Saus Apel,1 snack ukuran (112 g),86,"0,2g","22,5g","0,2g",3mg,0mg
Bumbu Kacang,1 sdm,75,"5,23g","6,15g","2,02g",35mg,0mg
Kuah/Kaldu Kalkun (Kalengan),1 sdm,8,"0,31g","0,76g","0,39g",86mg,0mg
Pasta Kacang Almond,100 gram (g),458,"27,74g","47,81g",9g,9mg,0mg
Lobak Pedas,1 sdm,7,"0,1g","1,69g","0,18g",47mg,0mg
Spaghetti Bolognese Sauce with Chicken Meat,1 porsi (90 g),90,1g,13g,6g,0mg,"6,00g"
Salad Dressing Kecap Ala Jepang,1 tbsp (25 ml),90,5g,10g,1g,"3,00g","0,000g"
Sambal Matah,1 porsi (15 g),21,"1,54g","1,79g","0,44g",248mg,1mg
Sambal Bawang,1 sajian (8 g),25,"1,5g",2g,0g,,"2,00g"
Kecap Asin (Tamari),1 sdm,11,"0,02g",1g,"1,89g",1005mg,0mg
Saus Manis Khas Jawa,1 porsi (15 g),45,0g,11g,0g,,"0,00g"
Saus Teriyaki Bawang,1 sdm (15 g),25,0g,6g,0g,,"5,00g"
Saus Spageti tanpa Daging,1 mangkok,185,"5,95g","28,18g","4,88g",1202mg,0mg
Sambal Ijo Uleg,1 porsi (20 g),45,3g,4g,1g,,"4,00g"
Saus Tiram,100 g,51,"0,25g","10,92g","1,35g",,"1,35g"
Bulgogi Sauce,1 sdm (15 g),25,0g,6g,0g,0mg,"0,00g"
Soto Betawi,1 mangkok (20 g),135,3g,8g,2g,,"2,0g"
Saus Bumbu Rasa Tiram,1 porsi (15 g),15,0g,4g,0g,,"0,00g"
Saus Tomat (Kalengan),1 mangkok,78,"0,59g","18,06g","3,23g",1284mg,0mg
Pasta Tomat,1 sdm,13,"0,08g","3,03g","0,69g",16mg,0mg
Saus Cokelat,1 mangkok,123,"5,5g","11,21g","8,74g",1305mg,7mg
Saus Mentega,"1 porsi (6,5 ml)",10,0g,0g,0g,,"0,00g"
Oncom,100 gram (g),36,"1,64g","2,67g","3,12g",0g,"0,309g"
Saus Tiram,1 porsi (15 g),15,0g,4g,0g,,"0,00g"
