nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Smooth Kacang Hijau,1 porsi (20 g),80,"1,5g",14g,3g,,"3,00g"
Chiareal Apple & Cinnamon,1 porsi (40 g),171,"5,7g",25g,"4,4g",,
Special K Original,1 porsi (45 g),170,"0,5g",37g,4g,"8,00g","0,000g"
Crunchy Cereal To Go,1 bungkus (55 g),231,9g,12g,8g,,"12,00g"
Chiareal Coconut and Pineapple,1 porsi (43 g),188,"6,5g",28g,"4,1g",,
Gowell Sereal & Susu,1 sachet (29 g),120,3g,23g,1g,,"1,00g"
Snack Sereal,1 porsi (20 g),100,4g,14g,1g,,30mg
Sun Bubur Susu Sereal Pisang,1 porsi (40 g),160,"2,5g",31g,4g,,"10,00g"
Swiss Choco Bits,100 g,450,15g,68g,7g,,"68,00g"
Homemade Crunchy Cereal,1 porsi (50 g),221,11g,28g,5g,,"2,0g"
Fitnesse Granola Honey,1 cangkir (45 g),190,6g,30g,4g,,"3,0g"
Tropical Fruit Muesli,1 porsi (45 g),200,5g,30g,9g,"3,00g","1,500g"
Energen Kurma,1 gelas (30 g),130,"3,5g",24g,1g,,"24,00g"
Energen Rasa Kacang Hijau,1 porsi (30 g),150,3g,24g,2g,,"24,00g"
Energen Jagung,1 gelas (25 g),110,"2,5g",20g,1g,0mg,"1,00g"
Instant Nutritious Cereal Mix,1 porsi (30 g),120,2g,25g,2g,,"1,0g"
Malt with Cereal Banana,1 porsi (200 ml),200,3g,41g,4g,280mg,"4,00g"
Coco Loops,1 porsi (30 g),120,"1,5g",24g,3g,,"3,00g"
Kokokrunch,1 mangkok (30 g),120,1g,25g,2g,,"25,00g"
Muesli,1 porsi (30 g),110,2g,22g,2g,,"3,0g"
Cerelac Apel Jeruk Pisang,5 sdm (50 g),210,"4,5g",33g,8g,,"12,00g"
Sereal 2 in 1,1 porsi (24 g),100,2g,20g,1g,,"12,00g"
"Sereal Oat (tanpa Garam, Dimasak dengan Air, tanpa Tambahan)",1 mangkok,147,"2,34g","25,27g","6,08g",2mg,0mg
Choco Bits,1 bungkus (20 ml),100,4g,13g,2g,0mg,"2,00g"
Mueslix Raisin & Almond Crunch,1 porsi (45 g),180,3g,33g,4g,,"4,00g"
Melisoy Sereal,1 porsi (25 g),100,2g,17g,4g,80mg,0mg
Weet-Bix,2 biscuits (30 g),110,0g,24g,4g,"1,00g","0,000g"
Cerelac Beras Merah,1 bungkus (20 g),90,"2,5g",15g,2g,,"1,0g"
Rice Krispies,1 porsi (30 g),120,0g,26g,2g,"1,00g","0,000g"
Snack Sereal Ring,1 bungkus (9 g),45,"2,5g",6g,0g,"2,00g","0,000g"
Bakmi Mewah Goreng Rasa Bulgogi,1 takaran saji (50 g),200,9g,24g,6g,,"24,00g"
Fitbar Fruits Delight,1 porsi (22 g),90,4g,15g,2g,,"2,00g"
Nestum Original,1 saji (30 g),120,"0,5g",25g,2g,,"25,00g"
Apple Jacks,1 porsi (42 g),160,"1,5g",37g,2g,,"37,00g"
Koko Krunch Sereal Bar Cokelat,1 bar (25 g),110,"3,5g",17g,2g,,"2,00g"
Sorgum,100 gram (g),339,"3,3g","74,63g","11,3g",350mg,0mg
Special K Oats & Honey,1 porsi (45 g),170,1g,37g,3g,,"37,00g"
Quickstart with Chia Seeds,1 sachet (30 g),130,3g,22g,2g,125mg,"2,00g"
3 in 1 Rasa Cokelat,1 kemasan (29 g),120,3g,22g,2g,,"2,00g"
Energen Rasa Jahe,1 sachet (29 g),130,3g,24g,1g,,"1,00g"
Flimbar,1 bar (22 g),90,3g,12g,5g,,"12,00g"
