nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Fish Lodeh with Shallot Red Rice + Spring Roll,1 porsi (350 g),469,13g,46g,42g,,
Meatball and Pasta with Creamy Mustard Sauce,1 porsi,456,12g,49g,38g,,
Kikil,1 mangkok,240,"10,86g","9,97g","26,12g",498mg,67mg
Sayur Asem,1 mangkok,80,"2,76g","12,9g","3,18g",308mg,3mg
Sup Kerang (Kental),1 mangkok,163,"5,83g","19,01g","8,83g",1144mg,17mg
Pindang Patin,100 gram (g),130,"4,4g","5,14g","16,93g",90mg,42mg
Sup Mie Ayam,1 mangkok,65,"2,39g","7,4g","3,18g",868mg,14mg
Empal Gentong,1 porsi (250 g),415,"29,83g","14,28g","25,94g",516mg,64mg
Nasi Bakmoy,1 porsi (241 g),346,"11,43g","33,65g","24,96g",925mg,166mg
"Krim Sup Ayam (Kalengan, Terkondensasi)",1 mangkok,223,"14,48g","17,97g","5,97g",1644mg,20mg
Sup Krim Jagung,1 gelas (16 g),70,2g,11g,1g,,"4,00g"
Sup Ayam Kental (Kalengan),1 mangkok,170,"6,34g","16,51g","12,14g",850mg,29mg
Sup Krim Kepiting & Jagung,1/3 bungkus (15 g),50,"0,5g",10g,1g,,630mg
Sayur Tahu Toge,1 porsi (300 g),259,"5,79g","38,73g","17,79g",768mg,0mg
Shirataki Soup,1 cangkir,50,0g,13g,1g,,
Lontong Sayur,1 mangkok,357,"8,39g","59,1g","11,11g",258mg,41mg
Zuppa Soup,1 porsi (241 g),430,"27,51g","27,4g","17,99g","1,97g","10,706g"
Wedang Ronde,1 mangkok,250,"0,37g","55,37g","4,51g",8mg,0mg
Sup Lentil,1 mangkok,186,"4,59g","26,61g","10,42g",625mg,0mg
Coto Makassar,1 porsi (241 g),289,"15,25g","12,92g","25,4g","0,79g","7,251g"
Harira,100 gram (g),110,"3,89g","15,14g","3,83g",143mg,5mg
Daging Sapi Gaya Oriental dan Sup Beras ( Pho Bo Vietnam),1 mangkok,176,"3,86g","16,81g","17,35g",669mg,39mg
Vegetables Macaroni Soup,1 porsi (40 g),130,1g,27g,5g,,"3,00g"
Mie Bakso,1 mangkok,388,"16,62g","40,05g","20,24g","1,73g","7,236g"
Sayur Bening Bayam,100 gram (g),36,"0,37g","7,64g","1,79g",162mg,0mg
Sapo Tahu,2 sendok makan,150,"6,6g","2,7g","19,9g",,
"Sup Tomat (Kalengan, Terkondensasi)",1 mangkok,151,"1,41g","33,66g","4,04g",1383mg,0mg
Soto Ayam,1 mangkok,312,"14,92g","19,55g","24,01g",210mg,129mg
Sup Tomat,1 mangkok,102,"2,93g","17,93g","3,05g",705mg,5mg
Oden,100 gram (g),124,"5,58g","10,73g","7,31g",325mg,79mg
Sup Nasi Ayam,1 mangkok,60,"1,9g","7,16g","3,54g",817mg,7mg
Chicken Rendang Sauce with Brown Rice Pilaf + Tomato Soup,1 porsi,472,12g,49g,42g,,
Sundubu Jigae,1 bowl (432 g),186,"9,5g","10,1g","16,6g",,"16,60g"
Kaldu Jamur,100 gram (g),7,"0,01g","0,83g","0,87g",1325mg,0mg
Sup Sayuran Kental (Kalengan),1 mangkok,122,"3,7g","19,01g","3,5g",1010mg,0mg
Sup Merah,1 porsi (300 g),240,8g,24g,18g,,"24,00g"
Pallubasa,100 gram (g),83,"3,09g","2,65g","10,63g",391mg,24mg
Sup Krim Daging Sapi Lada Hitam,1 sajian (15 g),60,1g,10g,1g,,"10,00g"
Soto Banjar,100 gram (g),100,"6,71g","5,29g","4,66g",82mg,49mg
Sup Kacang,1 mangkok,137,4g,"19,23g","6,58g",918mg,3mg
"Sup Sayur (dengan Volume Air yang Sama, Kalengan)",1 mangkok,72,"1,93g","11,98g","2,1g",822mg,0mg
Sup Mie Daging Sapi,1 mangkok,83,"3,07g","8,98g","4,83g",954mg,5mg
"Sayur Sup (Kalengan, Terkondensasi)",1 mangkok,145,"3,89g","24,06g","4,23g",1653mg,0mg
Sup Miso,1 mangkok,84,"3,36g","7,78g","6,02g",998mg,0mg
Sup Pedas dan Asam,1 mangkok,163,"7,91g","4,95g","15,1g",1554mg,34mg
Sop Buntut,100 gram (g),28,"1,01g","3,54g","1,11g",478mg,1mg
