nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Chil-Go Pisang,1 botol (140 ml),95,3g,14g,3g,150mg,5mg
Ultra Milk Low Fat,5 sendok makan (250 ml),120,3g,14g,9g,,15mg
Soybean Milk,1 gelas (300 ml),90,4g,7g,7g,,25mg
Teen Vanilla Caramel,1 gelas (45 g),180,"2,5g",33g,6g,310mg,0mg
Mango Smoothie,1 porsi (500 g),228,"0,5g","55,5g","0,5g",,"54,00g"
School Coklat,1 porsi (35 g),140,"2,5g",24g,5g,340mg,0mg
Avocado Chocolate,1 gelas (14 g),60,"2,5g",10g,0g,,"10,00g"
Roti Kasur Susu,1 potong (54 g),170,4g,29g,5g,,"5,00g"
Susu (2% Rendah Lemak dengan Tambahan Vitamin A dan Protein),1 gelas,138,"4,87g","13,51g","9,72g","12,94g","1,407g"
Soya Milk,100 g,100,1g,16g,10g,,"3,0g"
Susu UHT Low Fat,1 gelas (200 ml),90,"2,5g",11g,7g,105mg,10mg
Hi-Protein 2 Go,1 kemasan (200 ml),120,"2,5g",12g,12g,"0,0g","0,000g"
Platinum,1 cangkir (33 g),130,2g,2g,25g,360mg,0mg
Iso Sensation 93,1 skop (32 g),130,0g,1g,30g,50mg,2mg
Susu Coklat,1 gelas (200 ml),130,"2,5g",22g,6g,"2,0g","0,000g"
Susu Coklat (Seluruhnya),100 ml,88,"3,58g","10,91g","3,34g","10,06g","1,044g"
Ultra Mimi Full Cream,1 kotak (125 ml),80,4g,6g,4g,170mg,"4,00g"
Duomix Vanilla,1 pak (200 ml),110,2g,14g,7g,280mg,0mg
Hi-Protein Advanced Formula Cappuccino,4 sdm (36 g),140,"2,5g",13g,17g,,0mg
Susu (Susu Murni),1 gelas,146,"7,93g","11,03g","7,86g","12,83g","1,981g"
Vanilla Twist Milk,1 sachet (40 g),170,3g,30g,5g,50mg,5mg
Daily Formula,1 gelas (65 g),250,4g,42g,12g,135mg,0mg
Whey Protein,1 gelas (40 g),150,2g,21g,12g,400mg,0mg
Susu UHT Rasa Taro,1 kotak (200 ml),130,4g,18g,5g,,"5,00g"
Susu UHT Vanilla,1 pak (190 ml),110,4g,15g,4g,80mg,2mg
Protein Isolate,1 skop (24 g),100,1g,3g,20g,,"20,00g"
Dairy Milk Chocolate,1 porsi (27 ml),150,9g,15g,2g,20mg,0mg
Susu Kedelai,1 gelas (50 g),220,6g,31g,11g,40mg,0mg
Susu Steril Coklat,1 botol (190 ml),130,4g,21g,4g,"17,00g","1,000g"
Susu Bubuk Coklat,1 porsi (40 g),180,5g,27g,5g,"22,00g","1,500g"
Susu Kedelai,1 kaleng (300 ml),120,3g,18g,6g,,"13,00g"
Slim & Fit,1 bedak wangi (52 g),200,3g,30g,15g,"5,0g","0,000g"
Low Fat Milk,1 bungkus (225 g),315,8g,35g,25g,230mg,"25,00g"
Kental Manis,1 sendok makan (20 g),65,2g,"11,5g","0,5g",,"0,50g"
Diet to Go,1 porsi (200 ml),200,5g,31g,12g,"3,0g","0,000g"
Fresh Milk Chocolate,1 porsi (200 ml),170,7g,21g,6g,75mg,10mg
Gold Standard 100% Whey,"1 skop (30,4 g)",119,1g,3g,24g,,"24,00g"
Ultra Mimi Kids Full Cream,1 kotak (125 ml),80,4g,6g,4g,65mg,10mg
Master Whey,1 scoop (32 g),130,"1,5g",3g,25g,,"3,00g"
Susu Kental Manis,1 sachet (37 g),120,"3,5g",21g,1g,"2,0g","0,000g"
Gain Maxx,1 gelas (60 g),1000,22g,142g,61g,,"142,00g"
