nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Nasi Uduk Shirataki,1 porsi,368,"14,7g","13,7g","42,1g",,
Ayam Gepuk Sambal Bawang with Nasi Uduk + Tahu Kukus Bumbu Kacang,1 porsi,463,11g,49g,42g,,
Silken Egg Tofu,100 g,130,7g,4g,12g,,"4,00g"
Kaniroll,1 porsi,190,12g,4g,17g,,
Chicken Tofu,1 porsi,160,10g,3g,14g,,300mg
Egg Tofu,100 g,77,4g,1g,7g,,"1,00g"
Ayam Woku With Uduk Red Rice + Tahu Kukus Kemangi,1 porsi,458,10g,49g,43g,,
Kembang Tahu,100 g,380,"13,8g","23,3g","48,9g",,
Kung Pao Fish with Yang Chow Fried Rice,1 serving (250 g),473,13g,47g,42g,,
Mapo Tofu with Mushroom Szechuan Sauce,1 serving (130 g),135,8g,4g,12g,,
Mangkok Tahu,100 g,710,65g,6g,26g,,580mg
Sapo Tahu,2 sendok makan,150,"6,6g","2,7g","19,9g",,
Ketoprak,1 porsi (200 g),402,"15,34g","50,48g","15,59g",391mg,16mg
Vegetable with Rice Set,1 serving,343,11g,45g,17g,,
Tahu Sutra Silken Tofu,100 g,115,8g,2g,9g,,
Silken Tofu,1 porsi (150 g),100,5g,4g,8g,,"4,0g"
Tahu Susu,1 porsi (78 g),70,4g,1g,7g,,
Chicken Tofu,1 potong (40 g),160,10g,3g,14g,,
Kembang Tahu,100 gram (g),391,"13,86g","23,61g","48,96g",65mg,0mg
Tahu Sutera,100 g,110,5g,6g,10g,,"6,00g"
Egg Tofu,100 g,70,7g,1g,5g,,
Tofu Telur Veggie,1 porsi (70 g),60,3g,3g,6g,,"0,00g"
Kupat Tahu,1 porsi (250 g),391,"10,89g","62,65g","11,26g","4,45g","5,335g"
Tahu Tek,1 porsi (300 g),387,"9,38g","62,76g","16,7g",951mg,15mg
Batagor,1 potong,58,"2,98g","5,83g","2,06g",30mg,9mg
Tahu Bulat,1 buah,35,"2,6g","0,68g","2,36g",56mg,43mg
Tahu Original,100 g,110,7g,2g,10g,,"0,000g"
Tahu Gejrot,100 gram (g),98,"8,04g","1,81g","6,05g","0,66g","3,483g"
Tahu Telur,1 buah,253,"11,16g","25,68g","16,89g",587mg,26mg
Martabak Tahu,1 porsi (120 g),196,"6,72g","23,7g","9,99g",127mg,17mg
Tahu Kuning,1 buah (78 g),70,4g,1g,6g,,
Tahu Bakso,4 pcs (100 g),167,3g,27g,8g,,
Tahu Susu,100 gram (g),100,"4,2g","3,45g","11,75g",372mg,14mg
Perkedel Tahu,1 buah,72,"3,06g","7,17g","4,6g",136mg,19mg
Pepes Tahu,1 bungkus,63,"3,56g","2,46g","5,71g",296mg,6mg
Tahu Cabe Garam,1 porsi (240 g),367,"7,99g","55,72g","18,94g",97mg,0mg
Tahu Sumedang,1 porsi (240 g),282,"19,35g","10,41g","16,96g",470mg,0mg
Tahu Kuning,100 g,80,"4,7g","0,8g","10,9g",0mg,"10,90g"
Oseng Tahu,100 gram (g),232,"18,64g","9,42g","10,19g",405mg,0mg
Semur Tahu,1 potong,71,"2,43g","10,9g","1,8g",285mg,0mg
Tahu Bacem,1 potong,24,"1,47g","1,09g","1,9g",69mg,13mg
Tahu Isi,1 potong,134,"6,64g","8,65g","10,25g","1,68g","2,373g"
Tahu Kukus,100 gram (g),78,"4,34g","1,93g","7,97g",63mg,0mg
Tahu,100 gram (g),78,"4,95g","2,1g","7,97g",10mg,0mg
Tahu Goreng,1 buah,35,"2,62g","1,36g","2,23g",2mg,0mg
