nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Telur Dadar atau Telur Orak-Arik dengan Jamur,1 besar,91,"6,34g","2,05g","6,37g",289mg,185mg
Salad Ayam atau Kalkun dengan Telur,1 mangkok,384,"28,59g","2,84g","27,59g",446mg,209mg
Brondong Ketan,100 g,380,"1,5g",86g,6g,,"49,00g"
Bagel Telur,1 sedang (diameter 9 cm - 10 cm),292,"2,2g","55,65g","11,13g",71mg,25mg
"Salad Selada dengan Telur, Keju, Tomat dan / atau Wortel",100 gram (g),52,"3,14g","3,14g","3,33g",65mg,37mg
Gudeg Original,100 g,190,12g,10g,11g,,
Ayam Bawang Telur,1 bungkus (77 g),370,18g,45g,6g,,"4,0g"
Telur Gulung dengan Daging Sapi dan / atau Daging Babi,1 telur gulung,113,"6,2g","9,16g",5g,270mg,37mg
Martabak,1 porsi (110 g),347,"16,12g","44,66g","8,97g",268mg,79mg
Aice Chocolate,1 porsi (50 g),45,2g,7g,1g,,"1,00g"
Telur Gulung dengan Ayam atau Kalkun,1 telur gulung,103,"5,5g","9,31g","3,96g",163mg,38mg
Nasi Goreng Spesial,100 g,230,13g,22g,7g,,
Salted Egg Chicken,1 porsi,792,"58,9g","3,44g","58,3g",,
Telur Dadar atau Telur Orak-Arik dengan Keju dan Daging Babi (Asap),1 besar,152,"11,15g","1,97g","10,63g",504mg,196mg
Healthy Nasi Bali + Telur Betutu,1 porsi,467,11g,49g,43g,,
Kacang Telur,1 bungkus (25 g),140,9g,13g,1g,,"1,00g"
Salad Kentang dengan Telur,1 mangkok,262,"13,61g","30,8g","5,35g",942mg,89mg
Scrambled Eggs,1 porsi,140,9g,1g,13g,,"1,00g"
Quail Egg,"1 butir (7,7 g)",13,"0,98g","0,07g",1g,,18mg
Pengganti Telur (Cair),1 mangkok,211,"8,31g","1,61g","30,12g",444mg,3mg
Sandwich Telur dan Keju,1 sandwich,340,"19,42g","25,93g","15,61g",,291mg
Salad Telur,1 mangkok,706,"67,18g","4,28g","20,42g",804mg,688mg
"Salad Selada dengan Telur, Tomat, dan / atau Wortel",1 mangkok,47,"2,4g","3,19g","3,28g",46mg,92mg
Singapore Fried Rice (Shirataki),1 porsi,302,20g,8g,31g,,
Mie Telur Kering,1 mangkok,146,"1,69g","27,08g","5,38g","0,71g","0,476g"
Fu Yung Hai,100 g,131,"9,71g","3,61g","7,55g",375mg,215mg
Healthy Japanese Chicken Ramen + Korean Mayak Egg,100 g,468,12g,48g,42g,,
Sumpia Udang Pedas,1 biji (20 g),100,"4,5g",12g,2g,,115mg
Telur Omega,100 g,100,6g,1g,4g,,
Salad Tuna dengan Telur,1 mangkok,408,"26,89g","13,02g","28,52g",759mg,133mg
Martabak Manis,1 potong,270,"11,31g","37,37g","7,01g",225mg,66mg
Putih Telur,100 g,52,"0,2g","0,7g",11g,,"0,70g"
Martabak Telur,1 porsi (110 g),203,"8,45g","20,38g","10,89g",148mg,160mg
Sup Telur,1 porsi (498 g),215,"11,09g","11,6g","15,21g",1770mg,194mg
Telur Asin,1 porsi,137,"10,23g","1,08g","9,51g",,165mg
Roti Martabak,100 gram (g),247,"8,65g","29,91g","11,74g",187mg,85mg
Telur Gulung dengan Udang,1 telur gulung,103,"5,59g","9,73g","3,44g",318mg,43mg
Telur Dadar atau Telur Orak-Arik dengan Daging Babi (Asap),1 besar,138,"9,79g","1,11g","10,67g",478mg,188mg
Nata De Coco,1 porsi (225 g),150,0g,37g,0g,,"2,0g"
Telur Gulung tanpa Daging,1 telur gulung,100,"5,8g","9,73g","2,6g",271mg,30mg
Tahu Telur,1 buah,253,"11,16g","25,68g","16,89g",587mg,26mg
Kuning Telur Matang,1 besar,55,"4,49g","0,61g","2,69g",34mg,209mg
Telur Rebus,1 butir (17 g),77,"5,28g","0,56g","6,26g",139mg,2111mg
Telur Bebek,1 butir,130,"9,64g","1,02g","8,97g",102mg,619mg
Telur Dadar atau Telur Orak-Arik dengan Keju,1 besar,140,"10,37g","2,23g","9,15g",411mg,213mg
Telur Asin,1 buah,137,"10,23g","1,08g","9,51g",397mg,656mg
Fuyunghai,1 potong,113,"8,35g","3,1g","6,49g",323mg,185mg
Telur Ayam Kampung,1 fitcake (40 g),150,10g,"1,5g",13g,,
Telur Dadar atau Telur Orak-Arik dengan Sosis,1 sedang,181,"14,26g","1,29g","11,13g",322mg,215mg
Kuning Telur,1 besar,55,"4,51g","0,61g","2,7g",8mg,210mg
Telur Rebus Lunak,1 sedang,68,"4,65g","0,49g","5,51g",122mg,186mg
Telur Dadar atau Telur Orak-Arik dengan Sayuran,1 besar,106,"7,34g","2,38g","7,22g",280mg,216mg
Putih Telur,1 besar,17,"0,06g","0,24g","3,6g",55mg,0mg
Telur Balado,1 butir,71,"5,75g","1,22g","3,57g",125mg,116mg
Telur Ceplok,100 gram (g),201,"15,31g","0,88g","13,63g",204mg,457mg
Telur Dadar atau Telur Orak-Arik,1 besar,98,"7,14g","1,15g","6,81g",247mg,213mg
Telur Goreng,1 besar,89,"6,76g","0,43g","6,24g",238mg,210mg
Telur Dadar,1 besar,93,"7,33g","0,42g","6,48g",98mg,217mg
Telur,1 besar,74,"4,97g","0,38g","6,29g",70mg,212mg
