nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Semur Ayam with Nasi Daun Jeruk + Orek Tempe,1 porsi,463,11g,48g,43g,,
YC Nasi Yummy Daging Sapi Suwir,1 porsi (270 g),490,17g,70g,14g,,
Tempe Chips,1 bungkus (170 g),453,"19,6g","57,6g","14,9g",,"14,90g"
Dory Sambal Embe with Nasi Goreng Bali + Tempe Betutu,1 porsi,469,13g,47g,41g,,
Baked Chicken Sambal Taichan with Lontong Beras Merah,1 porsi,459,11g,48g,42g,,
Krumpe,1 porsi (20 g),100,5g,11g,3g,,"1,00g"
Ayam Kecap Pedas Manis With Nyonya Herb Rice + Orek Tempe,1 porsi,454,10g,49g,42g,,
Keripik Tempe,1 bungkus (60 g),320,20g,21g,16g,,
Bakso Tempe,1 buah,30,"1,66g","1,71g","2,66g",30mg,0mg
Tempe Rasa Original,1 porsi (20 g),110,7g,8g,4g,,"0,00g"
Steak Tempe,1 porsi (300 g),536,"27,75g","41,97g","35,27g",913mg,184mg
Keripik Tempe,100 gram (g),534,"31,92g","58,41g","5,15g",294mg,0mg
Tempe Mendoan,100 g,149,4g,13g,"18,3g",,
Tempe Penyet,1 porsi (300 g),595,"34,3g","38,52g","47,03g",724mg,0mg
Kering Tempe,100 gram (g),259,"12,93g","26,94g","13,6g",221mg,0mg
Tempe Gembus,100 gram (g),65,"0,2g","12,11g","3,46g",8mg,0mg
Tempe Mendoan,100 gram (g),200,"12,78g","12,69g","11,18g",233mg,0mg
Tempe Bacem,1 potong,49,"3,1g","2,23g","3,73g",68mg,13mg
Tempe Rebus,100 gram (g),196,"11,38g","9,35g","18,19g",,"18,19g"
Tempe Orek,100 gram (g),175,"8,2g","15,6g","13,11g",209mg,0mg
Tempe,100 gram (g),193,"10,8g","9,39g","18,54g",,0mg
Tempe Goreng,1 buah,34,"2,28g","1,79g",2g,42mg,0mg
