nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Daging Analog LS,1 porsi (50 g),180,"0,5g",16g,27g,"3,00g","0,000g"
Tepung Mocaf,100 g,360,0g,86g,2g,,"0,00g"
Tepung Bakso Goreng,4 biji (35 g),90,0g,21g,1g,,"21,00g"
Almond Flour,2 sendok makan (14 g),80,5g,5g,4g,,"4,00g"
Kunci Biru,100 g,350,1g,76g,10g,,
Tepung Bumbu Bakwan Kress,1 porsi (20 g),70,0g,15g,2g,"1,00g","0,000g"
Self Raising Flour,100 g,380,1g,85g,7g,,"1,00g"
Golden Flaxseed Meal,2 sdm (13 g),70,"4,5g",4g,3g,,"3,00g"
Ayam (Dilapisi Tepung Roti dan Digoreng),4 buah,190,"12,04g","10,44g","9,98g",367mg,35mg
Tepung Gandum,1 mangkok,407,"2,24g","87,08g","16,44g",6mg,0mg
Brondong Ketan,100 g,380,"1,5g",86g,6g,,"49,00g"
Tepung Pisang Goreng,1 potong (40 g),140,0g,34g,1g,,"5,00g"
Tepung Terigu,100 g,350,0g,77g,10g,,
Sagu,100 gram (g),354,"0,05g","87,55g","0,42g",1mg,0mg
Dedak Gandum (Mentah),100 gram (g),216,"4,25g","64,51g","15,55g",2mg,0mg
Baking Soda,1 sdt,0,0g,0g,0g,1259mg,0mg
Almond Flour,1/4 cup (28 g),170,15g,5g,6g,180mg,"6,00g"
Gandum Durum,1 mangkok,651,"4,74g","136,57g","26,27g",,0mg
Hasil Olah Tepung Protein Kedelai,100 g,350,1g,32g,54g,,
Organic Coconut Flour,2 tbsp (14 g),60,"1,5g",9g,3g,,"5,0g"
Tepung Jagung,1 gelas,488,"0,06g","116,83g","0,33g",12mg,0mg
Tepung Maizena,2 sendok makan (20 g),72,0g,"89,87g","0,68g",0mg,"0,68g"
Tepung Terigu Cakra Kembar,100 g,350,1g,74g,12g,,
Tepung Bumbu Serbaguna,1 porsi (50 g),170,"0,5g",40g,1g,,"40,00g"
All Purpose Cassava Flour,100 g,360,0g,88g,1g,190mg,"1,00g"
Tepung Kulit Taco,1 reguler 18 cm,169,"9,38g",18g,"2,91g",223mg,0mg
"Taco atau Tostada Salad dengan Daging Sapi, Kacang-kacangan dan Keju dalam Tortilla Goreng Tepung",1 salad,404,"24,94g","27,96g","18,12g",963mg,44mg
Pancake Mix,100 g,390,"0,5g",94g,2g,0mg,"2,00g"
Kuman Gandum,1 mangkok,414,"11,18g","59,57g","26,62g",1026mg,0mg
Sumpia Udang Pedas,1 biji (20 g),100,"4,5g",12g,2g,,115mg
Tepung Roti,1 porsi (50 g),180,1g,41g,4g,,850mg
Tepung Bumbu Tempe Kriuk,1 porsi (20 g),60,0g,14g,2g,,"2,00g"
Tepung Putih,100 gram (g),364,"0,98g","76,31g","10,33g",2mg,0mg
Cakra Kembar,100 g,360,1g,74g,12g,,
Tepung Terigu Kunci Biru,100 g,350,1g,77g,9g,,
Gandum Putih Keras,1 mangkok,657,"3,28g","145,73g","21,72g",4mg,0mg
Tepung Pisang Goreng,1 porsi (20 g),70,0g,18g,0g,"4,00g","0,000g"
Tempe Goreng,1 buah,34,"2,28g","1,79g",2g,42mg,0mg
Tepung Gandum Taj Mahal,100 g,370,"2,5g",74g,12g,,"74,00g"
Segitiga Biru,100 g,350,1g,75g,10g,,
Tepung Bakwan,1 porsi (18 g),60,0g,15g,1g,,"1,00g"
Tepung Bumbu Putih,1 porsi (10 g),35,0g,8g,0g,,"0,00g"
Tepung Pati Jagung,100 g,360,0g,89g,1g,,0mg
Tepung Bumbu Serbaguna Premium,1 takaran (10 g),35,0g,7g,1g,"1,00g","0,000g"
Tepung Bumbu Krispi Serbaguna,1 sachet (35 g),120,"0,5g",26g,3g,,"2,00g"
Tepung Beras,100 g,365,"1,4g",80g,6g,0mg,0mg
Tepung Pisang Crispy,1 takaran (20 g),70,0g,16g,1g,"3,00g","0,000g"
Tepung Bakwan,2 porsi (40 g),140,"0,5g",30g,3g,,
Tepung Tapioka,100 g,360,0g,89g,0g,,"0,00g"
Sajiku Tepung Bumbu Serbaguna,1 porsi (16 g),50,0g,12g,1g,,"1,00g"
Tepung Segitiga Biru,100 g,350,"1,5g",75g,10g,,
Super Crispy Kentucky,1 porsi (20 g),60,0g,13g,2g,,"2,00g"
Tepung Bumbu Serbaguna Hot & Spicy,1 porsi (40 g),130,"0,5g",28g,4g,,"1,00g"
Tepung Bumbu,1 sendok makan (20 g),70,0g,14g,2g,"1,00g","0,000g"
Tepung Terigu Putih (Semua Keperluan),100 gram (g),364,"0,98g","76,31g","10,33g",2mg,0mg
