Nama,Energy (kCal),Carbohydrates (g),Protein (g),Total Fat (g)
Pizza Hut Corn n Cheese (Personal),432.6,65.64,17.91,10.93
Pizza Hut Country Feast (Personal),407.6,67.11,16.73,8.03
Pizza Hut Double Cheese (Personal),423.33,59.97,18.26,12.27
Pizza Hut Double Paneer Supreme (Personal),474.03,52.86,20.07,20.26
Pizza Hut Farmer`s Pick (Personal),408.16,53.93,19.91,12.53
Pizza Hut Margherita (Personal),361.73,50.69,15.93,10.58
Pizza Hut Spiced Paneer (Personal),408.01,47.54,21.68,14.57
Pizza Hut Tandoori Onion (Personal),410.16,57.14,15.08,13.48
Pizza Hut Tandoori Paneer (Personal),532.08,76.38,17.82,17.25
Pizza Hut Veg Exotica (Personal),363.05,55.12,13.66,9.77
Pizza Hut Veg Kebab Surprise (Personal),520.4,63.12,24.62,18.83
Pizza Hut Veggie Feast (Personal),408.06,60.57,17.75,10.53
Pizza Hut Veggie Lover (Personal),411.72,56.6,17.2,12.94
Pizza Hut Veggie Supreme (Personal),426.59,55.39,17.75,14.42
Pizza Hut Veggie Tandoori (Personal),432.21,58.12,13.98,15.98
Pizza Hut Momo Mia Veg (Personal),510.19,65.21,19.88,18.87
Pizza Hut Momo Mia Chicken (Personal),516.63,64.02,22.56,18.93
Pizza Hut Chicken n Corn Delight (Personal),421.56,57.38,20.75,12.11
Pizza Hut Chicken Pepper Crunch (Personal),447.43,50.59,21.32,17.76
Pizza Hut Chicken Pepperoni (Personal),439.17,50.41,14.85,19.79
Pizza Hut Chicken Sausage (Personal),443.02,48.93,17.98,19.48
Pizza Hut Chicken Supreme (Personal),445.19,47.37,23.87,17.78
Pizza Hut Chicken Tikka Supreme (Personal),434.67,49.46,22.49,16.32
Pizza Hut Double Chicken Sausage (Personal),445.29,49.32,18.37,19.39
Pizza Hut Italian Chicken Feast (Personal),449.4,53.52,20.08,17.22
Pizza Hut Malai Chicken Tikka (Personal),425.45,53.99,21.62,13.67
Pizza Hut Spiced Chicken Meatball (Personal),394.79,46.12,20.84,14.11
Pizza Hut Triple Chicken Feast (Personal),424.46,50.12,24.15,22.76
Pizza Hut Chicken Tikka (Personal),394.73,48.43,17.56,14.53
Pizza Hut Veggie Tandoori (Medium),563.14,75.72,18.22,20.82
Pizza Hut Momo Mia Veg (Medium),627.36,80.18,24.44,23.21
Pizza Hut Corn n Cheese (Medium),557.7,84.62,23.09,14.1
Pizza Hut Country Feast (Medium),542.71,89.35,22.28,10.69
Pizza Hut Double Cheese (Medium),542.58,76.86,23.41,15.72
Pizza Hut Double Paneer Supreme (Medium),607.41,67.73,25.71,25.96
Pizza Hut Farmer`s Pick (Medium),528.07,69.78,25.76,16.21
Pizza Hut Margherita (Medium),459.03,64.32,20.22,13.43
Pizza Hut Spiced Paneer (Medium),532.754,62.08,28.31,19.02
Pizza Hut Tandoori Onion (Medium),523.36,72.91,19.24,17.19
Pizza Hut Tandoori Paneer (Medium),682.97,98.04,22.88,22.15
Pizza Hut Veg Exotica (Medium),455.67,69.19,17.14,12.26
Pizza Hut Veg Kebab Surprise (Medium),689.23,83.59,32.61,24.94
Pizza Hut Veggie Feast (Medium),532.89,79.1,23.18,13.75
Pizza Hut Veggie Lover (Medium),536.92,73.81,22.43,16.88
Pizza Hut Veggie Supreme (Medium),550.26,71.45,22.89,18.6
Pizza Hut Chicken n Corn Delight (Medium),444.9,58.79,21.7,13.66
Pizza Hut Chicken Pepper Crunch (Medium),591.94,66.92,28.21,23.49
Pizza Hut Chicken Pepperoni (Medium),561.68,64.48,18.99,25.31
Pizza Hut Chicken Sausage (Medium),567.29,62.66,23.03,24.95
Pizza Hut Chicken Supreme (Medium),585.84,62.33,31.42,23.4
Pizza Hut Chicken Tikka Supreme (Medium),563.43,64.11,29.16,21.15
Pizza Hut Double Chicken Sausage (Medium),568.53,62.97,23.45,24.76
Pizza Hut Italian Chicken Feast (Medium),561.95,66.92,25.11,21.53
Pizza Hut Malai Chicken Tikka (Medium),547.62,69.49,27.83,17.59
Pizza Hut Spiced Chicken Meatball (Medium),505.95,59.1,26.71,18.08
Pizza Hut Triple Chicken Feast (Medium),554.98,65.53,31.57,29.75
Pizza Hut Chicken Tikka (Medium),588.84,72.25,26.19,21.67
Pizza Hut Momo Mia Chicken (Medium),634.16,78.58,27.69,23.23
Pizza Hut Corn n Cheese (Personal),332.61,44.5,15.12,10.46
Pizza Hut Country Feast (Personal),376.45,58.33,16.44,8.6
Pizza Hut Double Cheese (Personal),370.43,50.55,15.66,11.73
Pizza Hut Double Paneer Supreme (Personal),414.59,45.34,18.35,17.76
Pizza Hut Farmer`s Pick (Personal),361.77,46.87,17.29,11.63
Pizza Hut Margherita (Personal),311.42,43.01,13.31,9.57
Pizza Hut Spiced Paneer (Personal),359.58,41.31,19.1,13.1
Pizza Hut Tandoori Onion (Personal),365.21,49.59,13.74,12.43
Pizza Hut Tandoori Paneer (Personal),477.47,66.75,16.64,15.99
Pizza Hut Veg Exotica (Personal),335.82,49.08,13.77,9.38
Pizza Hut Veg Kebab Surprise (Personal),472.77,56.18,21.95,17.81
Pizza Hut Veggie Feast (Personal),362.03,52.4,15.82,9.91
Pizza Hut Veggie Lover (Personal),390.8,53.27,16.07,12.6
Pizza Hut Veggie Supreme (Personal),382.29,48.88,16.7,13.33
Pizza Hut Veggie Tandoori (Personal),388.81,51.14,13.23,14.59
