nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
"Krim Sup Ayam (Kalengan, Terkondensasi)",1 mangkok,223.0,"14,48g","17,97g","5,97g","1,36mg","5,133mg"
Belalang Goreng,100 gram (g),151.0,"6,45g","8,34g","14,3g","0,94mg","3,536mg"
Getuk Goreng,100 gram (g),359.0,"6,68g","74,06g","1,31g","34,96mg","3,846mg"
Bakso Goreng,1 buah,57.0,"3,77g","2,39g","3,22g","0,24mg","1,663mg"
Paha Ayam Panggang (Kulit Dimakan),"1 kecil (hasil setelah masak, tulang dihilangkan)",135.0,"8,45g",0g,"13,67g",0mg,"3,354mg"
Kuah/Kaldu Ayam (Kalengan),1 gelas,188.0,"13,59g","12,9g","4,59g","1,86mg","6,069mg"
Polenta Goreng,1 untai atau iris,77.0,"0,35g","16,24g","1,77g","0,13mg","0,086mg"
Pastry Diisi dengan Kentang dan Kacang (Goreng),1 samosa reguler,308.0,"17,86g","32,21g","4,67g","1,26mg","5,836mg"
"Daging Ayam (Panggang, Bakar, Dimasak)",100 gram (g),167.0,"6,63g",0g,"25,01g",75mg,"2,5mg"
Daging dan Kulit Ayam (Panggang),100 gram (g),216.0,"15,85g",0g,"17,14g",0mg,"6,64mg"
Pepes Ayam,1 potong,103.0,"6,13g","0,66g","10,96g","0,03mg","3,33mg"
Opor Ayam,1 porsi (240 g),392.0,"20,81g","13,43g","39,67g","3,5mg","1,56mg"
Ayam Woku,100 gram (g),117.0,"5,14g","0,68g","16,11g","0,1mg","1,46mg"
Bakpao Ayam,100 gram (g),239.0,"2,61g","41,9g","12,46g","3,4mg","0,417mg"
Ayam Cincang Buncis,1 mangkok,360.0,"9,21g","48,08g","23,08g","11,7mg","3,852mg"
Paru Sapi Goreng,100 gram (g),484.0,"36,5g","0,62g","39,61g","0,32mg","21,271mg"
Sambal Goreng Kentang,100 gram (g),102.0,"3,02g","10,15g","8,72g","1,1mg","0,251mg"
Sosis Ayam,1 ikatan (panjang 2 cm x 10 cm),49.0,"2,83g","0,43g","5,05g",0mg,"0,755mg"
Sup Mie Ayam,1 mangkok,65.0,"2,39g","7,4g","3,18g","1,06mg","1,048mg"
Flauta dengan Ayam,100 gram (g),282.0,"19,92g","15,76g","10,9g","0,95mg","7,777mg"
Burrito dengan Ayam,1 kecil,271.0,"8,31g","24,34g","23,49g","1,83mg","3,46mg"
Sup Ayam Kental (Kalengan),1 mangkok,170.0,"6,34g","16,51g","12,14g","2,09mg","2,832mg"
Nasi Goreng Cina,1 mangkok,299.0,"11,11g","37,52g","11,23g","1,2mg","4,809mg"
Daging Kambing Goreng,100 gram (g),153.0,"4,52g",0g,"26,46g",0mg,"1,692mg"
Potongan Daging Babi Goreng,100 gram (g),279.0,"18,5g",0g,"26,41g",0mg,"8,003mg"
Ikan Bandeng Goreng,100 gram (g),233.0,"16,4g","2,38g","18,08g","0,2mg","8,401mg"
Ikan Tongkol Goreng,100 gram (g),200.0,"11,41g","2,38g","20,95g","0,2mg","6,318mg"
Nasi Goreng Oatmeal,1 porsi (300 g),321.0,"12,89g","45,09g","9,53g","8,3mg","4,224mg"
Dada Ayam Masak,100 gram (g),110.0,"1,24g",0g,"23,09g",0mg,"0,28mg"
Salad Ayam atau Kalkun,1 mangkok,417.0,"31,5g","2,55g","29,48g","0,98mg","8,638mg"
Daging dan Kulit Sayap Ayam (Ayam Pedaging),"1 sayap, tulang dihilangkan (hasil dari 450 g - ayam siap dimasak)",64.0,"4,63g",0g,"5,32g",0mg,"0,983mg"
Daging Paha dan Kulit Ayam (Ayam Pedaging),"1 paha, tulang dihilangkan",118.0,"6,34g",0g,"14,07g",0mg,"2,46mg"
Daging Ayam (Panggang),100 gram (g),111.0,"2,7g",0g,"20,33g",0mg,"0,83mg"
Ayam,"1 irisan tipis (sekitar 5 cm x 4 cm x 0,3 cm)",17.0,"0,94g",0g,"1,89g",0mg,"0,371mg"
Ayam Penyet,100 gram (g),199.0,"8,53g","5,29g","25,05g","0,29mg","3,945mg"
Lumpia Ayam,1 lumpia,65.0,"2,61g","7,12g","3,03g","0,37mg","1,091mg"
Sayap Ayam,"1 kecil (hasil setelah masak, tulang dihilangkan)",81.0,"5,4g",0g,"7,46g",0mg,"2,121mg"
Paha Ayam,"1 kecil (hasil setelah masak, tulang dihilangkan)",135.0,"8,45g",0g,"13,67g",0mg,"3,354mg"
Kaki Ayam,"1 kecil (hasil setelah masak, tulang dihilangkan)",212.0,"12,28g",0g,"23,68g",0mg,"4,781mg"
Dada Ayam,100 gram (g),195.0,"7,72g",0g,"29,55g",0mg,"3,005mg"
Oncom Goreng,1 potong,109.0,"5,84g","12,1g","2,39g","1,24mg","2,945mg"
Bebek Goreng,1 potong,337.0,"28,44g","4,32g","15,39g","1,34mg","13,721mg"
Ubi Goreng,1 potong,74.0,"0,4g","16,18g","1,41g","5,1mg","0,177mg"
Roti Goreng,100 gram (g),320.0,"11,36g","47,69g","7,18g","0,2mg","1,963mg"
Bihun Goreng,1 porsi (300 g),455.0,"17,04g","54,79g","17,73g","3,91mg","9,358mg"
Udang Goreng,100 gram (g),287.0,"14,64g","27,57g","10,58g","0,91mg","7,817mg"
Daging Paha Ayam (Ayam Pedaging),"1 paha, tulang dan kulit dihilangkan (hasil dari 450 g-siap untuk dimasak ayam)",49.0,"1,6g",0g,"8,06g",0mg,"0,398mg"
Daging Dada Ayam (Ayam Pedaging),100 gram (g),110.0,"1,24g",0g,"23,09g",0mg,"0,28mg"
Usus Ayam,100 gram (g),94.0,"2,06g",0g,"17,66g",0mg,"0,357mg"
Mee Goreng,1 porsi (300 g),507.0,"18,47g","61,8g","23,5g","4,4mg","4,838mg"
Toge Goreng,100 gram (g),94.0,"2,8g","14,22g","5,25g","3,12mg","1,189mg"
Pisang Goreng,1 iris,68.0,"3,58g","9,74g","0,4g","4,58mg","1,181mg"
Kentang Goreng,1 pesanan,156.0,"8,01g","20,33g","1,98g","0,33mg","4,664mg"
"Daging Paha Ayam (Ayam Pedaging, Dipanggang, Dimasak)","1 paha, tulang dan kulit dihilangkan",109.0,"5,66g",0g,"13,49g",0mg,"2,158mg"
"Daging Dada Ayam (Ayam Pedaging, Dipanggang, Dimasak)","1/2 dada, tulang dan kulit yang dihilangkan",142.0,"3,07g",0g,"26,68g",0mg,"1,066mg"
Daging Dada dan Kulit Ayam (Ayam Pedaging),"1/2 dada, tulang dihilangkan (hasil dari 450 g-ayam siap untuk dimasak )",150.0,"8,05g",0g,"18,14g",0mg,"1,705mg"
Kaldu Ayam,1 gelas (240 ml),12.0,"0,29g","1,51g","0,95g",24mg,"0,122mg"
Jantung Ayam,100 gram (g),153.0,"9,33g","0,71g","15,55g",74mg,"2,37mg"
Ayam (Dilapisi Tepung Roti dan Digoreng),4 buah,190.0,"12,04g","10,44g","9,98g","0,56mg","5,105mg"
Telur Goreng,1 besar,89.0,"6,76g","0,43g","6,24g","0,38mg","2,754mg"
Lele Goreng,100 gram (g),105.0,"2,85g",0g,"18,47g",50mg,"1,099mg"
